string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int 6,int 7,string2 8,int 9,string2 10,int 11,string2 12,int 13
"char_LUNAMON","","","chr002","1002","",1,0,"cfc001",0,"mpc002",0,"",0
"char_LEKISMON","","","chr003","1003","",1,0,"yfb001",0,"",0,"",0
"char_GOLEMON","","","chr005","1005","",0,0,"yma007",0,"",0,"",0
"char_HAGURUMON","","","chr009","1009","",0,0,"cmb002",0,"",0,"",0
"char_MERAMON","","","chr010","1010","",0,0,"yma009",0,"",0,"",0
"char_AIRDRAMON","","","chr011","1011","",0,0,"yma012",0,"",0,"",0
"char_GARURUMON","","","chr012","1012","",0,0,"ymb004",0,"",0,"",0
"char_BAKEMON","","","chr013","1013","",0,0,"ymd001",0,"",0,"",0
"char_STARMON","","","chr014","1014","",0,0,"yma004",0,"",0,"",0
"char_AQUILAMON","","","chr015","1015","",0,0,"ymb009",0,"",0,"",0
"char_STRIKEDRAMON","","","chr016","1016","",0,0,"ymb001",0,"",0,"",0
"char_MINOTAURMON","","","chr017","1017","",0,0,"yma009",0,"",0,"",0
"char_TYUMON","","","chr020","1020","",0,0,"cmd003",0,"",0,"",0
"char_RAPTORDRAMON","","","chr025","1025","",0,0,"yma008",0,"",0,"",0
"char_SANGLOUPMON","","","chr030","1030","",0,0,"ymb008",0,"",0,"",0
"char_FUNBEEMON","","","chr042","1042","",0,0,"cmc002",0,"",0,"",0
"char_BLACKTAILMON","","","chr043","1043","",1,0,"yfd001",0,"mpc043",0,"",0
"char_AGUMON","","","chr050","1050","",0,0,"cma002",0,"",0,"",0
"char_GAWAPPAMON","","","chr051","1051","",0,0,"yma004",0,"",0,"",0
"char_KAMEMON","","","chr052","1052","",0,0,"cmb002",0,"",0,"",0
"char_KUDAMON","","","chr053","1053","",0,0,"cmb001",0,"",0,"",0
"char_GEOGREYMON","","","chr054","1054","",0,0,"yma003",0,"",0,"",0
"char_GAOMON","","","chr055","1055","",0,0,"cma003",0,"",0,"",0
"char_LALAMON","","","chr056","1056","",1,0,"cfc001",0,"",0,"",0
"char_SUNFLOWMON","","","chr058","1058","",1,0,"yfc002",0,"",0,"",0
"char_GAOGAMON","","","chr068","1068","",0,0,"yma011",0,"",0,"",0
"char_NUMEMON","","","chr070","1070","",0,0,"ymd008",0,"",0,"",0
"char_LEOMON","","","chr072","1072","",0,0,"ymb011",0,"",0,"",0
"char_REPPAMON","","","chr077","1077","",0,0,"ymb002",0,"",0,"",0
"char_GROWMON","","","chr078","1078","",0,0,"yma008",0,"",0,"",0
"char_IMPMON","","","chr081","1081","",0,0,"cmd003",0,"",0,"",0
"char_ANGEMON","","","chr087","1087","",0,0,"ymc001",0,"",0,"",0
"char_OMEGAMON_BIG","","","chr929","1088","",0,0,"mmb002",0,"mpc088",0,"",0
"char_GUILMON","","","chr090","1090","",0,0,"cma003",0,"",0,"",0
"char_STINGMON","","","chr091","1091","",0,0,"ymb002",0,"",0,"",0
"char_TAILMON","","","chr092","1092","",1,0,"yfa001",0,"",0,"",0
"char_DEVIMON","","","chr093","1093","",0,0,"ymb001",0,"",0,"",0
