int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1110301,4040011,0,1,"",0,0,"","","","","","",-7.666,0,-49.521,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,15,1,3,60,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,4,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110302,4040011,0,1,"",0,0,"","","","","","",4.051,-0.001,-47.85,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,15,1,3,60,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,4,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110303,4040011,0,1,"",0,0,"","","","","","",0.398,0,-28.626,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110304,4040011,0,1,"",0,0,"","","","","","",17.811,0,-39.251,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110305,4040011,0,1,"",0,0,"","","","","","",-15.396,0,-16.274,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110306,4040011,0,1,"",0,0,"","","","","","",10.394,-0.001,5.706,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110307,4040011,0,1,"",0,0,"","","","","","",-20.208,0,-40.305,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110308,4040011,0,1,"",0,0,"","","","","","",-3.645,-0.001,-0.238,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110309,4040011,0,1,"",0,0,"","","","","","",-19.261,-0.001,17.273,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
1110310,4040011,0,1,"",0,0,"","","","","","",-0.075,0,18.148,-87.934,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,15,1,3,30,0,0,0,210,11,1,3,"","",0,1,"",0,30,-1,0,0,360,0,0,0,15,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,5,"",0,0.5,0,6,18,5,"",0,0.5,0,-1,"",0,0,0,100,"","",""
