int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
10201001,"",12,"gim_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"wall_cl",2.3,4,2.3,2,45
10201101,"",-1,"script_digidoor_150_01",0,"d02door00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201102,"",-1,"script_digidoor_151_01",0,"d02door00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201103,"",-1,"obj_0002",0,"d0201shop00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201104,"",-1,"obj_0003",0,"d0201shop01",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201106,"",-1,"obj_0005",0,"d0201devshop00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201107,"",-1,"obj_0006",0,"d0201shopshutter00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201108,"",-1,"obj_0007",0,"d0201shopshutter01",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201114,"",-1,"obj_0014",0,"d0201shopshutter02",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201115,"",-1,"obj_0015",0,"d0201shop02",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
10201117,"",50,"obj_1000",0,"d0201tree00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201118,"",-1,"obj_0020",0,"d0201manhole00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201300,"",-1,"ride_fall_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201301,"",-1,"ride_fall_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201400,"",15,"change_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201401,"",15,"change_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201402,"",15,"change_0003",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201403,"",10,"change_0004",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201404,"",13,"gim_0003",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201405,"",99,"change_0005",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201406,"",11,"obj_0017",0,"d0201thundercloud00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201800,"",-1,"gim_8000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201801,"",-1,"gim_8001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201802,"",-1,"gim_8002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201803,"",-1,"gim_8003",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10201900,"",-1,"script_position_01",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
