int 0,string3 1,int 2,string2 3,string2 4,bool 5,string2 6,int 7,int 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int 35,int 36,float 37,float 38,float 39,float 40,int 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int 50,int 51,int 52,int 53,string2 54,string2 55,int 56
102001,"",10,"","",0,"f00ambulance00",1,0,"","","","","",0,0,-53.499,0,-43.011,2.523,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102002,"",10,"","",0,"f00bus01",1,0,"","","","","",0,0,-69.891,0,-23.697,-116.577,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102003,"",10,"","",0,"f00car00",1,0,"","","","","",0,0,-63.657,0,-51.243,-70.414,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102004,"",10,"","",0,"f00car01",1,0,"","","","","",0,0,16.136,-0.07,16.727,-143.751,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102005,"",10,"","",0,"f00car02",1,0,"","","","","",0,0,-31.461,0,-53.732,-30,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102006,"",10,"","",0,"f00car03",1,0,"","","","","",0,0,-69.905,0,-45.377,-39.494,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102007,"",10,"","",0,"f00truck07",1,0,"","","","","",0,0,-40.319,0,-59.818,-116.521,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102008,"",10,"","",0,"f00wagon00",1,0,"","","","","",0,0,-33.69,0,-42.91,-96.862,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102009,"",10,"","",0,"f00wagon01",1,0,"","","","","",0,0,-58.229,-0.001,-41.825,-14.629,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102010,"",10,"","",0,"f00wagon02",1,0,"","","","","",0,0,-47.31,0,-45.767,-196.88,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
