int 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,bool 17,bool 18,bool 19,bool 20,string2 21,int 22,string2 23,string2 24,int 25,string2 26,string2 27,int 28,string2 29,string2 30,int 31,string2 32,string2 33,int 34,string2 35,string2 36,int 37,string2 38,string2 39,int 40,string2 41,string2 42,int 43,string2 44,string2 45,int 46,string2 47,string2 48,int 49,string2 50,string2 51,int 52,int 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,bool 72,bool 73,bool 74
10217000,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217001,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_MAIN_03_460","FLAG_MAIN_03_590",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217002,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_SUB_S050_043_001","FLAG_SUB_S050_043_002",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217004,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_03_590",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217005,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_SUB_S050_043_001","FLAG_SUB_S050_043_003",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217006,"A2028_daft_10","A2028_daft_360","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_13_100",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217007,"P2028_daft_10","P2028_daft_360","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_MAIN_13_100","FLAG_MAIN_13_170",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217008,"A2028_daft_10","A2028_daft_360","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_13_170",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217009,"A2028_daft_310","A2028_daft_350","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_13_100",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217015,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_SUB_S050_043_001","FLAG_SUB_S050_043_002",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217016,"A2020_dbef_170","A2020_dbef_199","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_SUB_S050_043_006","FLAG_SUB_S050_043_003",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217050,"A2028_daft_419","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_SUB_SEEKHIROKO_START","FLAG_SUB_SEEKHIROKO_07",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
10217060,"A2028_daft_360","A2028_daft_450","Z2028_daft_360","Z2028_daft_450","P2028_daft_360","P2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
