int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
11001001,4,"npc_0001","1","char_MAN_OF_PUBLIC_SECURITY","npc006aa010101",0,0,"","","e005","",0,0,"",0,0,-48.764,-1.801,2.296,369.038,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,4,-1,-1,2,0,"e005",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001002,1,"npc_0002","2","","npc015aa010101",0,0,"","","e013","",0,0,"",0,0,-65.971,-3.6,12.404,160,0,0,1,1,2,160,360,1,1,38,2,0,0,0,-1,2,2,2,-1,2,0,"e013",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001003,1,"npc_0003","3","char_WOMAN_OF_PUBLIC_SECURITY","npc007aa010101",0,0,"","","e005","",0,0,"",0,0,-46.202,0.049,-20.137,110,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,4,-1,0,2,0,"e005",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001004,3,"npc_0004","1","char_MAN_OF_PUBLIC_SECURITY","npc006aa010101",0,0,"","","e005","",0,0,"",0,0,-48.764,-1.801,2.296,369.038,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e005",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001005,5,"npc_0005","5","char_WOMAN_OF_PUBLIC_SECURITY","npc015aa010101",0,0,"","","e008","",0,0,"",0,0,-42.833,0.049,-16.853,125.858,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,4,-1,-1,2,1,"e008",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001010,2,"npc_0010","10","char_YUI","*Heroine",0,0,"","","e012","",0,0,"",0,0,-31.128,-1.8,7.702,-90,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,2,-1,-1,0,0,"e012",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001100,5,"npc_0006","5","","npc105ha010101",0,0,"","","e502","",0,0,"E01_M01",0,0,-44.728,0.099,-21.398,103.134,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,1,"e502",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001101,5,"npc_0007","5","","npc105ha010101",0,0,"","","e030","",0,0,"E01_M01",0,0,-39.395,0.099,-19.115,193.39,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,1,"e030",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001400,50,"sub073_001","sub073","","chr228",0,0,"","","ba01","",0,0,"F01",0,0,84.314,0.152,-3.767,90,0,0,1,1,4,160,360,1,2,1,2,0,0,0,-1,-1,0,-1,0,2,0,"ba01",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001518,57,"s200_146_002","","","npc006aa010101",0,0,"","","e012","",0,0,"F01",0,0,31.643,-3.524,34.671,-30,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"e012",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001519,57,"s200_146_001","","","npc007aa010101",0,0,"","","e004","",0,0,"F01",0,0,31.614,-3.55,37.11,210,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"e004",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001011,1,"rumor_001","","","npc015aa010101",0,0,"","","fd01_01","",0,0,"F01",0,0,-52.343,-1.801,3.832,17.574,0,0,1,1,0,160,360,1,1,0,2,0,-0.95,0.5,-1,-1,0,-1,0,2,1,"fd01_01",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
11001012,1,"rumor_002","","","npc014aa010101",0,0,"","","fd01_01","",0,0,"F01",0,0,-38.808,0.049,-14.977,-120,0,0,1,1,0,160,360,1,1,0,2,0,-0.9,0.4,-1,-1,0,-1,0,2,1,"fd01_01",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
