int 0,empty 1,string2 2,int 3,empty 4,string2 5,string2 6,int 7,float 8,int 9,int 10,float 11,int 12,int 13,int 14,int 15,bool 16,int 17,empty 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,int 31,int 32,int 33,empty 34,int 35,int 36,int 37
10011,"","char_HEROINE",0,"","*Heroine","",1,1,0,1,-1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
10012,"","char_HEROINE",0,"","*Heroine","",1,1,0,0,-1,0,0,0,0,1,10012,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
10071,"","char_TOUDO",0,"","npc007aa010101","",1,1,0,0,-1,0,0,0,0,1,10071,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
10072,"","char_TOUDO_B",0,"","npc057aa010101","",1,1,0,0,-1,0,0,0,0,1,10072,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
11691,"","char_JUPITERMON_WRATHMODE",977,"","","",2,1,0,2,-1,0,0,0,0,0,11691,"",60,1981,976,3565,710,925,535,955,75,50,100,100,100,100,100,"",38,0,0
11831,"","char_AEGIOMON",183,"","chr183aa010101","",2,1,0,2,-1,0,0,0,0,0,11831,"",1,1040,470,345,310,325,305,340,75,20,100,100,100,100,100,"",0,0,0
11832,"","char_AEGIOMON",183,"","chr183aa010101","",2,1,0,2,-1,0,0,0,0,0,11832,"",15,1040,470,345,310,325,305,340,75,20,100,100,100,100,100,"",0,0,0
11833,"","char_AEGIOMON",183,"","chr183ba010101","ui_chara_icon_1183b",2,1,0,2,-1,0,0,0,0,0,11831,"",10,1040,470,345,310,325,305,340,75,20,100,100,100,100,100,"",0,0,0
11834,"","char_AEGIOMON",183,"","chr183aa010101","",2,1,0,2,-1,0,0,0,0,0,11833,"",10,1040,470,345,310,325,305,340,75,20,100,100,100,100,100,"",0,0,0
11841,"","char_AEGIOCHUSMON",184,"","chr184aa010101","",2,1,0,2,-1,0,0,0,0,1,11841,"",1,1484,776,985,740,840,670,910,150,20,100,100,100,100,100,"",0,0,0
11851,"","char_AEGIOCHUSMON_DARK",184,"","chr185aa010101","",2,1,0,2,-1,0,0,0,0,1,11851,"",1,1610,1112,2050,865,880,900,1205,150,20,100,100,100,100,100,"",0,0,0
11861,"","char_AEGIOCHUSMON_HOLLY",184,"","chr186aa010101","",2,1,0,2,-1,0,0,0,0,1,11861,"",1,1841,1640,540,1330,1700,1655,890,150,20,100,100,100,100,100,"",0,0,0
11871,"","char_AEGIOCHUSMON_BLUE",184,"","chr187aa010101","",2,1,0,2,-1,0,0,0,0,1,11871,"",1,1918,848,1415,1195,720,575,595,150,20,100,100,100,100,100,"",0,0,0
11881,"","char_AEGIOCHUSMON_GREEN",184,"","chr188aa010101","",2,1,0,2,-1,0,0,0,0,1,11881,"",1,1946,1152,920,830,1230,985,1330,150,20,100,100,100,100,100,"",0,0,0
15631,"","char_ELECMON",563,"","","",2,1,0,2,-1,0,0,0,0,1,15631,"",1,9999,9999,360,330,330,330,200,0,0,100,100,100,100,100,"",38,11027,11036
20141,"","char_STARMON",14,"","","",2,1,0,2,-1,0,0,0,0,1,20141,"",35,9999,9999,1575,300,1265,280,240,0,0,100,100,100,100,100,"",38,11027,11036
20411,"","char_PANDAMON",41,"","","",2,1,0,2,-1,0,0,0,0,1,20411,"",35,9999,9999,1725,795,1720,680,510,0,0,100,100,100,100,100,"",38,11027,11036
20431,"","char_BLACKTAILMON",43,"","","",2,1,0,2,-1,0,0,0,0,1,20431,"",22,9999,9999,225,200,440,305,220,0,0,100,100,100,100,100,"",38,11027,11042
20501,"","char_AGUMON",50,"","","",2,1,0,2,-1,0,0,0,0,1,20501,"",1,9999,9999,460,200,210,180,220,0,0,100,100,100,100,100,"",38,11027,11047
20571,"","char_ROSEMON",57,"","","",2,1,0,2,-1,0,0,0,0,1,20571,"",60,9999,9999,3820,1690,4075,1800,785,0,0,100,100,100,100,100,"",38,11027,11047
20751,"","char_NEPTUNEMON",970,"","","",2,1,0,2,-1,0,0,0,0,1,20751,"",30,9999,9999,1055,580,1030,830,860,0,0,100,100,100,100,100,"",38,11027,11047
20752,"","char_NEPTUNEMON",970,"","","",2,1,0,2,-1,0,0,0,0,1,20752,"",60,9999,9999,4660,2035,3495,2059,752,0,0,100,100,100,100,100,"",38,11027,11047
20801,"","char_MERCURYMON",971,"","","",2,1,0,2,-1,0,0,0,0,1,20801,"",30,9999,9999,1350,670,740,775,665,0,0,100,100,100,100,100,"",38,11027,11037
20802,"","char_MERCURYMON",971,"","","",2,1,0,2,-1,0,0,0,0,1,20802,"",60,9999,9999,2350,1340,1740,1550,665,0,0,100,100,100,100,100,"",38,11027,11037
20803,"","char_MERCURYMON",971,"","","",2,1,0,2,-1,0,0,0,0,1,20803,"",60,9999,9999,4232,2149,2716,1876,665,0,0,100,100,100,100,100,"",38,11027,11037
20831,"","char_GRIFFOMON",83,"","","",2,1,0,2,-1,0,0,0,0,1,20831,"",35,9999,9999,870,515,980,675,990,0,0,100,100,100,100,100,"",38,11027,11042
20832,"","char_GRIFFOMON",83,"","","",2,1,0,2,-1,0,0,0,0,1,20831,"",60,9999,9999,3870,1515,3980,1675,990,0,0,100,100,100,100,100,"",38,11027,11042
20861,"","char_SLEIPMON",994,"","","",2,1,0,2,-1,0,0,0,0,1,20861,"",60,9999,9999,775,855,1080,935,1035,0,0,100,100,100,100,100,"",38,11027,11042
20881,"","char_OMEGAMON",972,"","","",0,1,0,2,-1,0,0,0,0,1,20881,"",20,9999,9999,1200,20,1700,150,150,0,0,0,0,0,0,0,"",38,11027,11047
20882,"","char_OMEGAMON",972,"","","",0,1,0,2,-1,0,0,0,0,1,20882,"",20,9999,9999,1300,670,740,775,665,0,0,100,100,100,100,100,"",38,11027,11047
20883,"","char_OMEGAMON",972,"","","",0,1,0,2,-1,0,0,0,0,1,20882,"",50,9999,9999,2600,1670,1480,1775,665,0,0,100,100,100,100,100,"",12,11027,11047
20884,"","char_OMEGAMON",972,"","","",0,1,0,2,-1,0,0,0,0,1,20882,"",25,9999,9999,1300,670,740,775,665,0,0,100,100,100,100,100,"",38,11027,11047
21031,"","char_GANIMON",103,"","","",2,1,0,2,-1,0,0,0,0,1,21031,"",30,9999,9999,345,200,180,105,190,0,0,100,100,100,100,100,"",38,11027,11036
21141,"","char_V-MON",114,"","","",2,1,0,2,-1,0,0,0,0,1,21141,"",1,9999,9999,670,300,140,220,470,0,0,100,100,100,100,100,"",38,11027,11047
21261,"","char_DUKEMON",988,"","","",2,1,0,2,-1,0,0,0,0,1,21261,"",60,9999,9999,860,855,1075,865,820,0,0,100,100,100,100,100,"",38,11027,11047
21262,"","char_DUKEMON",988,"","","",2,1,0,2,-1,0,0,0,0,1,21262,"",60,9999,9999,860,855,1075,865,820,0,0,100,100,100,100,100,"",38,11027,11047
21263,"","char_DUKEMON",988,"","","",2,1,0,2,-1,0,0,0,0,1,21263,"",60,9999,9999,860,855,1075,865,820,0,0,100,100,100,100,100,"",38,11027,11047
21331,"","char_WARUSEADRAMON",133,"","","",2,1,0,2,-1,0,0,0,0,1,21331,"",55,9999,9999,495,525,1190,615,500,0,0,100,100,100,100,100,"",38,11027,11047
21361,"","char_CORONAMON",136,"","","",2,1,0,2,-1,0,0,0,0,1,21361,"",15,9999,9999,350,200,250,200,140,0,0,100,100,100,100,100,"",38,11027,11047
21391,"","char_LIGHDRAMON",139,"","","",2,1,0,0,-1,0,0,0,0,1,0,"",10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,"",10,11027,11038
21441,"","char_DIGMON",144,"","","",2,1,0,2,-1,0,0,0,0,1,21441,"",1,9999,9999,670,300,140,220,470,0,0,100,100,100,100,100,"",38,11027,11038
21451,"","char_SABMARIMON",145,"","","",2,1,0,2,-1,0,0,0,0,1,21451,"",25,9999,9999,1340,900,280,660,220,0,0,100,100,100,100,100,"",38,11027,11031
21452,"","char_SABMARIMON",145,"","","",2,1,0,2,-1,0,0,0,0,1,21452,"",35,9999,9999,1340,900,280,660,220,0,0,100,100,100,100,100,"",38,11027,11031
21453,"","char_SABMARIMON",145,"","","",2,1,0,2,-1,0,0,0,0,1,21453,"",50,9999,9999,1340,900,280,660,220,0,0,100,100,100,100,100,"",38,11027,11031
21461,"","char_PEGASMON",146,"","","",2,1,0,2,-1,0,0,0,0,1,21461,"",15,9999,9999,245,285,615,465,395,0,0,100,100,100,100,100,"",38,11027,11043
21621,"","char_RANAMON",162,"","","",2,1,0,2,-1,0,0,0,0,1,21621,"",28,9999,9999,245,285,615,465,395,0,0,100,100,100,100,100,"",38,11027,11044
21701,"","char_JUNOMON",170,"","","",2,1,0,2,-1,0,0,0,0,1,21701,"",60,9999,9999,845,595,1200,925,764,0,0,100,100,100,100,100,"",38,11027,11028
21702,"","char_JUNOMON",170,"","","",2,1,0,2,-1,0,0,0,0,1,21702,"",60,9999,9999,4677,1648,4677,2639,665,0,0,100,100,100,100,100,"",38,11027,11028
21721,"","char_VENUSMON",172,"","","",2,1,0,2,-1,0,0,0,0,1,21721,"",30,9999,9999,425,715,1380,1290,455,0,0,100,100,100,100,100,"",38,11027,11028
21722,"","char_VENUSMON",172,"","","",2,1,0,2,-1,0,0,0,0,1,21722,"",35,9999,9999,425,715,1380,1290,455,0,0,100,100,100,100,100,"",38,11027,11028
21723,"","char_VENUSMON",172,"","","",2,1,0,2,-1,0,0,0,0,1,21723,"",60,9999,9999,2425,1715,3380,2290,455,0,0,100,100,100,100,100,"",38,11027,11028
21724,"","char_VENUSMON",172,"","","",2,1,0,2,-1,0,0,0,0,1,21724,"",60,9999,9999,2725,1858,4613,3277,455,0,0,100,100,100,100,100,"",38,11027,11028
