int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,empty 8,empty 9,empty 10,empty 11,empty 12
1,1,2,0,0,0,0,"","","","","",""
2,5,74,73,68,72,2,"","","","","",""
3,103,102,7,2,0,0,"","","","","",""
4,4,1,2,0,0,0,"","","","","",""
5,5,7,1,2,0,0,"","","","","",""
6,1,2,0,0,0,0,"","","","","",""
7,2,0,0,0,0,0,"","","","","",""
8,103,102,106,7,1,2,"","","","","",""
9,103,102,7,1,2,0,"","","","","",""
10,10,0,0,0,0,0,"","","","","",""
11,11,12,0,0,0,0,"","","","","",""
12,29,30,1,2,0,0,"","","","","",""
13,1,2,13,0,0,0,"","","","","",""
14,1,2,7,0,0,0,"","","","","",""
15,15,0,0,0,0,0,"","","","","",""
16,1,2,4,0,0,0,"","","","","",""
17,14,6,0,0,0,0,"","","","","",""
18,16,2,0,0,0,0,"","","","","",""
19,1001,24,2,0,0,0,"","","","","",""
20,4,32,2,0,0,0,"","","","","",""
21,4,33,2,0,0,0,"","","","","",""
22,4,34,2,0,0,0,"","","","","",""
23,4,35,2,0,0,0,"","","","","",""
28,36,37,1,2,0,0,"","","","","",""
29,103,102,7,39,2,0,"","","","","",""
30,29,30,1,2,0,0,"","","","","",""
31,40,1,2,0,0,0,"","","","","",""
32,1,0,0,0,0,0,"","","","","",""
33,41,2,0,0,0,0,"","","","","",""
34,1001,4,2,0,0,0,"","","","","",""
35,42,2,0,0,0,0,"","","","","",""
36,43,42,2,0,0,0,"","","","","",""
37,0,0,0,0,0,0,"","","","","",""
38,0,0,0,0,0,0,"","","","","",""
39,0,0,0,0,0,0,"","","","","",""
40,1001,44,2,0,0,0,"","","","","",""
41,0,0,0,0,0,0,"","","","","",""
42,1001,45,2,0,0,0,"","","","","",""
43,1001,4,46,1,2,0,"","","","","",""
44,106,2,0,0,0,0,"","","","","",""
45,47,2,0,0,0,0,"","","","","",""
46,1001,4,48,1,2,0,"","","","","",""
47,49,2,0,0,0,0,"","","","","",""
48,37,1,2,0,0,0,"","","","","",""
49,52,0,0,0,0,0,"","","","","",""
50,103,102,7,39,1,2,"","","","","",""
51,2,4,0,0,0,0,"","","","","",""
52,30,1,2,0,0,0,"","","","","",""
53,1001,53,2,0,0,0,"","","","","",""
54,1001,54,2,0,0,0,"","","","","",""
55,57,0,0,0,0,0,"","","","","",""
56,57,1,0,0,0,0,"","","","","",""
57,58,59,60,0,0,0,"","","","","",""
58,58,2,0,0,0,0,"","","","","",""
59,5,74,73,2,0,0,"","","","","",""
60,61,1,2,0,0,0,"","","","","",""
61,62,1,2,0,0,0,"","","","","",""
62,63,1,2,0,0,0,"","","","","",""
63,1001,64,2,0,0,0,"","","","","",""
64,1001,65,2,0,0,0,"","","","","",""
65,66,67,0,0,0,0,"","","","","",""
66,23,40,1,2,0,0,"","","","","",""
67,23,1,2,0,0,0,"","","","","",""
68,7,2,0,0,0,0,"","","","","",""
69,106,7,1,2,0,0,"","","","","",""
70,7,1,2,0,0,0,"","","","","",""
71,5,7,2,0,0,0,"","","","","",""
72,5,74,73,68,2,0,"","","","","",""
101,5,7,1,2,0,0,"","","","","",""
102,5,1,2,0,0,0,"","","","","",""
103,5,1,2,0,0,0,"","","","","",""
104,5,105,106,2,0,0,"","","","","",""
105,5,105,2,0,0,0,"","","","","",""
106,4,18,19,20,116,2,"","","","","",""
107,109,21,1,2,0,0,"","","","","",""
108,5,110,1,2,0,0,"","","","","",""
109,104,1,2,0,0,0,"","","","","",""
110,111,1,2,0,0,0,"","","","","",""
111,112,3,1,2,0,0,"","","","","",""
112,112,3,113,1,2,0,"","","","","",""
113,114,1,2,0,0,0,"","","","","",""
114,114,2,0,0,0,0,"","","","","",""
115,115,116,2,0,0,0,"","","","","",""
117,4,18,19,116,2,0,"","","","","",""
118,4,19,22,116,2,0,"","","","","",""
119,4,19,116,2,0,0,"","","","","",""
120,114,121,1,2,0,0,"","","","","",""
121,114,122,1,2,0,0,"","","","","",""
122,114,121,2,0,0,0,"","","","","",""
123,114,122,2,0,0,0,"","","","","",""
124,5,2,0,0,0,0,"","","","","",""
125,121,2,0,0,0,0,"","","","","",""
126,122,2,0,0,0,0,"","","","","",""
127,111,1,0,0,0,0,"","","","","",""
128,1,0,0,0,0,0,"","","","","",""
201,201,202,203,0,0,0,"","","","","",""
202,25,27,28,0,0,0,"","","","","",""
203,26,27,28,0,0,0,"","","","","",""
204,27,1,0,0,0,0,"","","","","",""
205,613,27,1,0,0,0,"","","","","",""
206,70,0,0,0,0,0,"","","","","",""
207,613,1,2,0,0,0,"","","","","",""
208,28,0,0,0,0,0,"","","","","",""
320,56,23,320,1000,0,0,"","","","","",""
321,56,23,321,1000,0,0,"","","","","",""
322,56,23,320,321,1000,0,"","","","","",""
323,56,322,320,323,1000,0,"","","","","",""
324,56,322,323,1000,0,0,"","","","","",""
325,56,23,320,323,1000,0,"","","","","",""
326,56,23,323,1000,0,0,"","","","","",""
327,56,23,1000,0,0,0,"","","","","",""
328,325,14,19,0,0,0,"","","","","",""
329,325,14,0,0,0,0,"","","","","",""
330,56,23,320,1000,0,0,"","","","","",""
331,56,23,321,1000,0,0,"","","","","",""
332,56,23,320,321,1000,0,"","","","","",""
333,56,23,320,323,1000,0,"","","","","",""
334,56,23,323,1000,0,0,"","","","","",""
335,56,23,1000,0,0,0,"","","","","",""
337,14,0,0,0,0,0,"","","","","",""
338,326,2,0,0,0,0,"","","","","",""
339,56,23,320,323,1000,0,"","","","","",""
340,14,19,0,0,0,0,"","","","","",""
341,14,0,0,0,0,0,"","","","","",""
1320,56,320,1000,0,0,0,"","","","","",""
1321,56,321,1000,0,0,0,"","","","","",""
1322,56,320,321,1000,0,0,"","","","","",""
1325,56,320,323,1000,0,0,"","","","","",""
1326,56,323,1000,0,0,0,"","","","","",""
1327,56,1000,0,0,0,0,"","","","","",""
1330,56,320,1000,0,0,0,"","","","","",""
1331,56,321,1000,0,0,0,"","","","","",""
1332,56,320,321,1000,0,0,"","","","","",""
1333,56,320,323,1000,0,0,"","","","","",""
1334,56,323,1000,0,0,0,"","","","","",""
1335,56,1000,0,0,0,0,"","","","","",""
336,38,1,2,0,0,0,"","","","","",""
400,400,1,2,0,0,0,"","","","","",""
410,410,0,0,0,0,0,"","","","","",""
500,1001,500,1,2,0,0,"","","","","",""
501,1001,501,1,2,0,0,"","","","","",""
502,1001,500,55,101,1,2,"","","","","",""
503,1001,1,2,0,0,0,"","","","","",""
504,1001,500,55,1,2,0,"","","","","",""
505,1001,2,0,0,0,0,"","","","","",""
510,512,510,0,0,0,0,"","","","","",""
511,512,511,510,0,0,0,"","","","","",""
512,511,513,0,0,0,0,"","","","","",""
513,513,0,0,0,0,0,"","","","","",""
520,112,2,0,0,0,0,"","","","","",""
521,112,1,2,0,0,0,"","","","","",""
600,600,601,69,602,116,604,"","","","","",""
601,69,116,605,0,0,0,"","","","","",""
602,606,607,1,2,0,0,"","","","","",""
603,609,1,2,0,0,0,"","","","","",""
604,603,607,609,1,2,0,"","","","","",""
605,1,2,0,0,0,0,"","","","","",""
606,614,615,0,0,0,0,"","","","","",""
607,613,1,2,0,0,0,"","","","","",""
608,7,17,0,0,0,0,"","","","","",""
609,616,69,1,604,0,0,"","","","","",""
610,622,607,617,1,2,0,"","","","","",""
611,623,624,607,617,1,2,"","","","","",""
612,618,619,625,617,1,2,"","","","","",""
613,623,619,626,617,1,2,"","","","","",""
614,617,1,2,0,0,0,"","","","","",""
615,619,617,2,0,0,0,"","","","","",""
616,69,620,119,2,0,0,"","","","","",""
617,613,621,1,2,0,0,"","","","","",""
618,621,1,2,0,0,0,"","","","","",""
619,618,621,1,2,0,0,"","","","","",""
620,621,1,2,0,0,0,"","","","","",""
700,123,700,1,0,0,0,"","","","","",""
701,19,703,2,0,0,0,"","","","","",""
702,704,1,0,0,0,0,"","","","","",""
703,5,701,702,2,0,0,"","","","","",""
704,5,702,2,0,0,0,"","","","","",""
705,701,2,0,0,0,0,"","","","","",""
706,17,0,0,0,0,0,"","","","","",""
800,1001,1,2,0,0,0,"","","","","",""
801,1001,2,0,0,0,0,"","","","","",""
802,1001,4,1,2,0,0,"","","","","",""
803,1001,4,2,0,0,0,"","","","","",""
900,57,1,0,0,0,0,"","","","","",""
901,118,119,1000,120,0,0,"","","","","",""
2000,2004,2001,0,0,0,0,"","","","","",""
2001,2002,0,0,0,0,0,"","","","","",""
2002,2003,0,0,0,0,0,"","","","","",""
100000,0,0,0,0,0,0,"","","","","",""
100001,56,1000,0,0,0,0,"","","","","",""
