int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15
0,0,0,0,-1,-1,"d0601","d0602","d0603","d0604","d0605","d0606","d0607","d0608","d06","last"
30000,0,3000,0,-1,-1,"","","","","","theater_0001","theater_0001","theater_0001","d0606","last"
106010,10000,601,0,-1,-1,"","col_d0601_start_01_0","","col_d0602_start_09_0","","theater_0001","theater_0001","theater_0001","d0606","last"
106020,10000,602,0,-1,-1,"col_d0602_start_00_0","","col_d0602_start_02_0","col_d0602_start_09_0","","theater_0001","theater_0001","theater_0001","d0606","last"
106030,10000,603,0,20550,20552,"col_d0602_start_00_0","col_d0603_start_00_0","","col_d0602_start_09_0","","theater_0001","theater_0001","theater_0001","d0606","last"
106031,10000,603,1,-1,-1,"col_d0602_start_00_0","col_d0603_start_02_0","","col_d0602_start_08_0","","theater_0001","theater_0001","theater_0001","d0606","last"
106040,10000,604,0,-1,-1,"col_d0602_start_00_0","col_d0604_start_00_0","col_d0602_start_02_0","","","theater_0001","theater_0001","theater_0001","d0606","last"
106050,10000,605,0,-1,-1,"col_d0602_start_00_0","col_d0605_start_00_0","col_d0602_start_04_0","col_d0602_start_05_0","","","","","","last"
106060,10000,606,0,-1,-1,"","","","","","","col_d0606_start_01_0","col_d0607_start_02_0","","last"
106070,10000,607,0,-1,-1,"","","","","","col_d0607_start_01_0","","col_d0607_start_02_0","","last"
106080,10000,608,0,-1,-1,"","","","","","col_d0607_start_01_0","col_d0608_start_01_0","","","last"
101000,10000,100,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
101001,10000,100,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
101002,10000,100,2,6904,6903,"","","","","","gim_access01","","","d0606",""
101003,10000,100,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
102000,10000,200,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
102001,10000,200,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
102002,10000,200,2,6904,6903,"","","","","","gim_access01","","","d0606","last"
102003,10000,200,3,-1,-1,"","","","","","locomon_staff","","","d0606","last"
103000,10000,300,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
103001,10000,300,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
103002,10000,300,2,6904,6903,"","","","","","gim_access01","","","d0606",""
103003,10000,300,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
104000,10000,400,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
104001,10000,400,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
104002,10000,400,2,6904,6903,"","","","","","gim_access01","","","d0606",""
104003,10000,400,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
105000,10000,500,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
105001,10000,500,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
105002,10000,500,2,6904,6903,"","","","","","gim_access01","","","d0606",""
105003,10000,500,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
107000,10000,700,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
107001,10000,700,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
107002,10000,700,2,6904,6903,"","","","","","gim_access01","","","d0606",""
107003,10000,700,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
109000,10000,900,0,21168,21185,"","","","","","locomon_staff","col_d0608_start_01_0","","d0607","last"
109001,10000,900,1,-1,-1,"","","","","","locomon_staff","col_d0608_start_01_0","","d0607","last"
110000,10000,1000,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
110001,10000,1000,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
110002,10000,1000,2,6904,6903,"","","","","","gim_access01","","","d0606",""
110003,10000,1000,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
111000,10000,1100,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
111001,10000,1100,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
111002,10000,1100,2,6904,6903,"","","","","","gim_access01","","","d0606",""
111003,10000,1100,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
112000,10000,1200,0,20500,20561,"gim_access01","col_d0601_start_01_0","","col_d0602_start_09_0","","","","","d0601","last"
112001,10000,1200,1,6903,6904,"","","","","","locomon_staff","evt_0001","col_d0607_start_02_0","d0606","last"
112002,10000,1200,2,6904,6903,"","","","","","gim_access01","evt_0001","col_d0607_start_02_0","d0606","last"
112003,10000,1200,3,-1,-1,"","","","","","locomon_staff","evt_0001","col_d0607_start_02_0","d0606","last"
113000,10000,1300,0,20500,20561,"gim_access01","col_d0601_start_01_0","","","","","","","d0601","last"
113001,10000,1300,1,6903,6904,"","","","","","locomon_staff","","","d0606","last"
113002,10000,1300,2,6904,6903,"","","","","","gim_access01","","","d0606",""
113003,10000,1300,3,-1,-1,"","","","","","locomon_staff","","","d0606",""
114000,10000,1400,0,-1,-1,"","","","","","col_d0607_start_01_0","col_d0608_start_01_0","col_d0607_start_02_0","d0607","last"
