int 0,empty 1,empty 2,int 3
1,"","",130
2,"","",100
3,"","",-50
4,"","",0
5,"","",50
6,"","",80
7,"","",10
8,"","",101
9,"","",0
10,"","",180
11,"","",160
12,"","",100
13,"","",8
14,"","",100
15,"","",6
16,"","",0
17,"","",2
18,"","",12
19,"","",3
20,"","",4
21,"","",5
22,"","",6
23,"","",7
24,"","",7
25,"","",7
26,"","",8
27,"","",9
28,"","",10
29,"","",11
30,"","",14
31,"","",15
32,"","",222
33,"","",300
34,"","",100
35,"","",200
36,"","",200
37,"","",200
38,"","",200
39,"","",200
40,"","",10
41,"","",10000
42,"","",10
43,"","",9999
44,"","",99999
45,"","",10
46,"","",10000
47,"","",100
48,"","",100
49,"","",200
50,"","",100
51,"","",100
52,"","",999999
53,"","",100
54,"","",99999
55,"","",95
56,"","",8
57,"","",1000
58,"","",5
59,"","",40
60,"","",60
61,"","",50
62,"","",-50
63,"","",25
64,"","",25
65,"","",200
66,"","",11016
67,"","",11017
68,"","",11018
69,"","",11019
70,"","",11020
71,"","",11021
72,"","",11022
73,"","",11023
74,"","",11024
75,"","",11025
76,"","",2580
77,"","",4310
78,"","",6710
79,"","",13030
80,"","",100
81,"","",85
82,"","",75
83,"","",65
84,"","",55
85,"","",100
86,"","",75
87,"","",50
88,"","",30
89,"","",30
90,"","",50
91,"","",50
92,"","",50
93,"","",80
94,"","",50
95,"","",100
96,"","",50
97,"","",400
98,"","",200
99,"","",600
100,"","",11013
101,"","",11014
102,"","",11015
103,"","",13008
104,"","",1040
105,"","",120
106,"","",120
107,"","",120
108,"","",120
109,"","",120
110,"","",120
111,"","",120
112,"","",120
113,"","",80
114,"","",100
115,"","",30
116,"","",7000
117,"","",7
118,"","",7
119,"","",7
120,"","",7
121,"","",10
122,"","",60
123,"","",10
124,"","",100
