int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,empty 8,empty 9,int 10,int 11,int 12,int 13,int 14,int 15,empty 16,empty 17,empty 18,int 19,int 20,int 21,int 22,int 23,int 24,empty 25,empty 26,empty 27,int 28,int 29,int 30,int 31,int 32,int 33,empty 34,empty 35,empty 36,int 37,int 38,int 39,empty 40,empty 41
3,2,501,-1,0,30,1,"","","",8,602,-1,-1,-1,-1,"","","",6,301,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,301,1,"",""
4,2,501,-1,0,30,1,"","","",8,602,-1,-1,-1,-1,"","","",6,375,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,375,1,"",""
5,2,501,-1,0,30,1,"","","",8,602,-1,-1,-1,-1,"","","",6,314,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,314,1,"",""
6,2,501,-1,0,30,1,"","","",8,602,-1,-1,-1,-1,"","","",6,376,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,376,1,"",""
8,4,-1,-1,-1,-1,2,"","","",6,335,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",8,335,-1,"",""
9,4,-1,-1,-1,-1,2,"","","",18,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,1,"",""
10,4,-1,-1,-1,-1,2,"","","",6,334,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",8,334,1,"",""
11,4,-1,-1,-1,-1,1,"","","",18,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,1,"",""
12,4,-1,-1,-1,-1,1,"","","",6,334,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",8,334,1,"",""
13,19,-1,-1,-1,-1,-1,"","","",13,355,-1,-1,-1,-1,"","","",6,326,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,326,2,"",""
14,12,362,403,-1,-1,1,"","","",6,327,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,327,1,"",""
15,7,333,-1,-1,-1,-1,"","","",11,353,401,-1,-1,2,"","","",6,324,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,324,2,"",""
16,7,337,-1,-1,-1,-1,"","","",11,353,401,-1,-1,2,"","","",6,324,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,324,2,"",""
17,7,336,-1,-1,-1,-1,"","","",11,353,401,-1,-1,2,"","","",6,324,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,324,2,"",""
18,7,323,-1,-1,-1,-1,"","","",11,354,401,-1,-1,2,"","","",6,325,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,325,2,"",""
19,9,601,-1,-1,-1,-1,"","","",6,328,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,328,1,"",""
20,9,604,-1,-1,-1,-1,"","","",6,330,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,330,1,"",""
21,15,-1,-1,-1,-1,2,"","","",17,401,-1,-1,-1,1,"","","",6,332,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,332,2,"",""
22,15,-1,-1,-1,-1,2,"","","",14,403,-1,-1,-1,1,"","","",6,332,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,332,2,"",""
23,16,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",2,-1,-1,"",""
24,-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,-1,"",""
