int 0,empty 1,int 2,string2 3,string2 4,string2 5,string2 6
11016,"",1,"ef_b_car_003","ef_b_car_004","ef_b_car_005","ef_b_car_006"
11017,"",1,"ef_b_car_003","ef_b_car_004","ef_b_car_005","ef_b_car_006"
11018,"",1,"ef_b_car_003","ef_b_car_004","ef_b_car_005","ef_b_car_006"
11019,"",1,"ef_b_car_030","ef_b_car_040","ef_b_car_050","ef_b_car_060"
11020,"",3,"ef_b_car_300","ef_b_car_400","ef_b_car_500","ef_b_car_600"
11021,"",3,"ef_b_car_300","ef_b_car_400","ef_b_car_500","ef_b_car_600"
11022,"",3,"ef_b_car_300","ef_b_car_400","ef_b_car_500","ef_b_car_600"
11023,"",2,"ef_b_car_300","ef_b_car_400","ef_b_car_500","ef_b_car_600"
11024,"",2,"ef_b_car_003","ef_b_car_004","ef_b_car_005","ef_b_car_006"
11025,"",2,"ef_b_car_300","ef_b_car_400","ef_b_car_500","ef_b_car_600"
