int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,38,22,19,16,14,15,12
3,38,22,19,16,14,15,12
4,38,22,19,16,14,15,12
5,38,22,19,16,14,15,12
6,38,22,19,16,14,15,12
7,38,22,19,16,14,15,12
8,38,22,19,16,14,15,12
9,38,22,19,16,14,15,12
10,38,22,19,16,14,15,12
11,38,22,19,16,14,15,12
12,38,22,19,16,14,15,12
13,38,22,19,16,14,15,12
14,38,22,19,16,14,15,12
15,38,22,19,16,14,15,12
16,38,22,19,16,14,15,12
17,38,22,19,16,14,15,12
18,38,22,19,16,14,15,12
19,38,22,19,16,14,15,12
20,38,22,19,16,14,15,12
21,8,5,5,3,4,3,3
22,8,5,5,3,4,3,3
23,8,5,5,3,4,3,3
24,8,5,5,3,4,3,3
25,8,5,5,3,4,3,3
26,8,5,5,3,4,3,3
27,8,5,5,3,4,3,3
28,8,5,5,3,4,3,3
29,8,5,5,3,4,3,3
30,8,5,5,3,4,3,3
31,8,5,5,3,4,3,3
32,8,5,5,3,4,3,3
33,8,5,5,3,4,3,3
34,8,5,5,3,4,3,3
35,8,5,5,3,4,3,3
36,8,5,5,3,4,3,3
37,8,5,5,3,4,3,3
38,8,5,5,3,4,3,3
39,8,5,5,3,4,3,3
40,8,5,5,3,4,3,3
41,8,5,5,3,4,3,3
42,8,5,5,3,4,3,3
43,8,5,5,3,4,3,3
44,8,5,5,3,4,3,3
45,8,5,5,3,4,3,3
46,8,5,5,3,4,3,3
47,8,5,5,3,4,3,3
48,8,5,5,3,4,3,3
49,8,5,5,3,4,3,3
50,8,5,5,3,4,3,3
51,8,5,5,3,4,3,3
52,8,5,5,3,4,3,3
53,8,5,5,3,4,3,3
54,8,5,5,3,4,3,3
55,8,5,5,3,4,3,3
56,8,5,5,3,4,3,3
57,8,5,5,3,4,3,3
58,8,5,5,3,4,3,3
59,8,5,5,3,4,3,3
60,8,5,5,3,4,3,3
61,8,5,5,3,4,3,3
62,8,5,5,3,4,3,3
63,8,5,5,3,4,3,3
64,8,5,5,3,4,3,3
65,8,5,5,3,4,3,3
66,8,5,5,3,4,3,3
67,8,5,5,3,4,3,3
68,8,5,5,3,4,3,3
69,8,5,5,3,4,3,3
70,8,5,5,3,4,3,3
71,7,5,4,3,3,3,2
72,7,5,4,3,3,3,2
73,7,5,4,3,3,3,2
74,7,5,4,3,3,3,2
75,7,5,4,3,3,3,2
76,7,5,4,3,3,3,2
77,7,5,4,3,3,3,2
78,7,5,4,3,3,3,2
79,7,5,4,3,3,3,2
80,7,5,4,3,3,3,2
81,7,5,4,3,3,3,2
82,7,5,4,3,3,3,2
83,7,5,4,3,3,3,2
84,7,5,4,3,3,3,2
85,7,5,4,3,3,3,2
86,7,5,4,3,3,3,2
87,7,5,4,3,3,3,2
88,7,5,4,3,3,3,2
89,7,5,4,3,3,3,2
90,7,5,4,3,3,3,2
91,7,5,4,3,3,3,2
92,7,5,4,3,3,3,2
93,7,5,4,3,3,3,2
94,7,5,4,3,3,3,2
95,7,5,4,3,3,3,2
96,7,5,4,3,3,3,2
97,7,5,4,3,3,3,2
98,7,5,4,3,3,3,2
99,7,5,4,3,3,3,2
