int 0,string2 1,empty 2,int 3,int 4,float 5,int 6,int 7,string2 8,string2 9,int 10,string2 11,int 12,int 13,int 14,int 15,int 16,string2 17,int 18,string2 19,string2 20,int 21,string2 22,string2 23,int 24,string2 25,string2 26,int 27,string2 28,string2 29,int 30,int 31,int 32,int 33
10,"common_flag_1000","",1,0,0,0,0,"char_HERO","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",0,0,0,-1
1010010010,"main_010_010_010","",1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1010010020,"main_010_010_020","",1,4,20,0,0,"char_OPERATOR","d",1010010010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_01_080","FLAG_MAIN_01_090",0,"","",0,"","",0,"","",3,0,0,2
1010010030,"main_010_010_030","",5,4,60,0,0,"char_ADAMAS_Cloud","d",1010010020,"",-1,-1,3029,1,2,"",2,"FLAG_MAIN_01_080","FLAG_MAIN_01_090",0,"","",0,"","",0,"","",1,0,0,2
1010020010,"main_010_020_010","",5,0,0,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,3015,0,2,"DIGITTER_FLAG_MAIN_01_020",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1010080020,"main_010_080_020","",1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_01_090","FLAG_MAIN_01_100",0,"","",0,"","",0,"","",3,0,0,2
1010120010,"main_010_120_010","",1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_120",2,"FLAG_MAIN_01_120","FLAG_MAIN_01_130",0,"","",0,"","",0,"","",3,0,0,2
1010120011,"main_010_120_011","",1,4,30,0,0,"char_OPERATOR","d",1010120010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_120","FLAG_MAIN_01_130",0,"","",0,"","",0,"","",3,0,0,2
1020030010,"main_020_030_010","",1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_02_030",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020030020,"main_020_030_020","",1,4,30,0,0,"char_OPERATOR","d",1020030010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020030030,"main_020_030_030","",5,4,30,0,0,"char_ADAMAS_Cloud","d",1020030020,"",-1,-1,3012,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020030031,"main_020_030_030","",5,0,30,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,3012,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020070010,"main_020_070_010","",1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_180",1,"","",0,"","",0,"","",0,"","",3,1,0,2
1020070011,"main_020_070_011","",1,4,20,0,0,"char_OPERATOR","d",1020070010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_180","FLAG_MAIN_01_190",0,"","",0,"","",0,"","",3,0,0,2
1020070020,"main_020_070_020","",5,0,30,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,2003,0,2,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020070030,"main_020_070_030","",1,0,30,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_02_080",1,"","",0,"","",0,"","",0,"","",3,0,0,2
1020070031,"main_020_070_031","",1,4,0,0,0,"char_OPERATOR","d",1020070030,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020120010,"main_020_120_010","",1,2,0,0,0,"char_PROTECTED_GIRL","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_220",2,"FLAG_MAIN_01_220","FLAG_MAIN_01_230",0,"","",0,"","",0,"","",3,0,0,2
1020120011,"main_020_120_011","",1,4,30,0,0,"char_PROTECTED_GIRL","d",1020120010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_220","FLAG_MAIN_01_230",0,"","",0,"","",0,"","",3,0,0,2
1020160010,"main_020_160_010","",1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_230",2,"FLAG_FIELD_D14_030","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1020160011,"main_020_160_011","",1,4,30,0,0,"char_OPERATOR","d",1020160010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
3140200,"field_14_020_1","",1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_FIELD_14_020",2,"FLAG_FIELD_D14_020","FLAG_MAIN_01_230",0,"","",0,"","",0,"","",3,0,0,2
3140402,"field_14_040_2","",5,0,30,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,3013,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
8002006,"tut_2006","",5,2,0,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,2006,0,2,"DIGITTER_FLAG_TUT_2006",2,"TUT_FLAG_4552","FLAG_MAIN_03_460",0,"","",0,"","",0,"","",1,0,0,2
9999000,"recovery_start","",0,0,0,0,0,"char_DIGIVICE","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
9999001,"recovery_end","",0,0,0,0,0,"char_DIGIVICE","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
9999002,"evolution_possible","",5,0,0,0,0,"char_DIGIVICE","d",101,"",-1,-1,-1,0,3,"",0,"","",0,"","",0,"","",0,"","",1,1,0,2
9999003,"kizuna_possible","",5,0,0,0,0,"char_DIGIVICE","d",101,"",-1,-1,-1,0,4,"",0,"","",0,"","",0,"","",0,"","",1,1,0,2
9999004,"full_recovery","",0,0,0,0,0,"char_DIGIVICE","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",1,1,0,2
9999005,"digifarm_training_01","",2,0,0,0,0,"char_MIREI_CHILD","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
9999006,"digifarm_training_02","",2,0,0,0,0,"char_MIREI_CHILD","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
10000000,"dummy","",4,0,0,0,0,"dummy","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",2,1,0,2
10000001,"dummy","",4,0,0,0,0,"dummy","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
10000002,"dummy","",4,0,0,0,0,"dummy","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
10000003,"dummy","",4,0,0,0,0,"dummy","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,1,0,2
