int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1140101,5031004,0,1,"",0,0,"","","","","","",28.629,0.999,0.05,75.153,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,3,"",0,1.5,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140102,5031004,0,1,"",0,0,"","","","","","",39.094,1,-5.844,-179.726,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,3,"",0,1.5,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140103,4022003,0,1,"",0,0,"","","","","","",30.702,1.099,-8.976,-87.896,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,3,3,"",0,2,0,4,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140104,4022002,0,1,"",0,0,"","","","","","",53.349,1,-0.285,320.397,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,5,2.5,"",0,1.5,0,6.5,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140105,4082006,0,1,"",0,0,"","","","","","",72.35,1,-1.975,534.984,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,3,"",0,1.5,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140106,4024005,0,1,"",0,0,"","","","","","",73.227,0.999,-23.009,43.049,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,2,"",0,1.5,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140107,91007,0,1,"",0,0,"","","","","","",-26.129,1.1,0.195,149.747,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,90,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,1,5.5,3,"rail_move_001",1,2,0,7,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140108,90380,0,1,"",0,0,"","","","","","",-18.711,1.1,-20.97,281.554,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,0,4,3,"",0,2,0,5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140109,4040011,0,1,"",0,0,"","","","","","",12.17,3.5,-27.683,281.554,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,4,4,30,0,0,0,210,5,4,4,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,2,0,0,3,4,"",0,2,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140110,4021002,0,1,"",0,0,"","","","","","",23.521,1.1,-42.357,281.554,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,0,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,6,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,0,5,4,"",0,2,0,7,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140111,4021005,0,1,"",0,0,"","","","","","",-4.46,1.599,-22.137,-26.378,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"",0,0,"",0,30,10,0,0,360,2,1,1,30,0,0,0,90,6,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,2,5,5,"",0,2,0,7,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140112,91007,0,1,"",0,0,"","","","","","",55.94,1,-32.634,-89.512,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,90,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,1,5.5,3,"rail_move_002",0,5,0,7,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140113,90380,0,1,"",0,0,"","","","","","",17.191,1.099,-24.463,-87.896,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,3,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140114,91007,0,99,"",0,0,"","","","","","",5.547,1.599,-25.892,320.397,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,1,1,30,0,0,0,210,7,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,5,3,"",0,1.5,0,6.5,20,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1140115,5041506,0,1,"",0,0,"","","","","","",-11.796,3,-34.309,281.554,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,4,4,4,30,0,0,0,210,5,4,4,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,2,0,0,3,3,"",0,2,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1140116,90412,0,1,"",0,0,"","","","","","",0.233,0.999,-36.637,90,2,0,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,20,10,0,0,360,2.5,2,2,30,0,0,0,160,5,2,2,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,360,10,2,2,"",0,1,0,0,1,1,0,0,0,1,4,2,"rail_move_003",0,5,0,4,20,5,"",0,2,1,-1,"FLAG_ENEMY_D1401_001",0,0,0,-1,"","",""
