int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
2051001,4123002,0,-1,"",0,0,"1","chr466","1","","","",-2.5,30,-130,0,1,1,-1,-1,-1,-1,"","bd01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051002,4123004,0,-1,"",0,0,"2","chr466","2","","","",2.5,30,-130,0,1,1,-1,-1,-1,-1,"","bd01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051003,60600010,0,-1,"",0,0,"3","chr055","5","","","",-2.5,30,-126,0,1,1,-1,-1,-1,-1,"","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051004,60600010,0,-1,"",0,0,"4","chr055","7","","","",2.5,30,-126,0,1,1,-1,-1,-1,-1,"","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051005,4022003,0,-1,"",0,0,"5","chr759","9","","","",-2.5,30,-122,0,1,1,-1,-1,-1,-1,"symbol03","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051006,5041601,0,-1,"",0,0,"6","chr466","12","","","",-5,30,-130,0,1,1,-1,-1,-1,-1,"","bd01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051007,4021009,0,-1,"",0,0,"7","chr307","15","","","",-2.5,32,-125,0,1,1,-1,-1,-1,-1,"fly","f001","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,6,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,3,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051008,4021010,0,-1,"",0,0,"8","chr466","17","","","",5,30,-130,0,1,1,-1,-1,-1,-1,"","bd01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051009,91007,0,-1,"",0,0,"9","chr055","20","","","",-5,30,-126,0,1,1,-1,-1,-1,-1,"","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051010,5041502,0,-1,"",0,0,"10","chr055","25","","","",5,30,-126,0,1,1,-1,-1,-1,-1,"","ba01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
