string3 0,float 1,float 2
"f00ambulance00",2.8,11.4
"f00bus00",2.8,11.4
"f00bus01",2.8,11.4
"f00car00",2,5.2
"f00car01",2,5.2
"f00car02",2,5.2
"f00car03",2,5.2
"f00car04",2,5.2
"f00car05",2,5.2
"f00car06",2,5.2
"f00car07",2,5.2
"f00car08",2,5.2
"f00car09",2,5.2
"f00fireengin00",2.8,11.4
"f00patrolcar00",2,5.2
"f00taxi00",2,5.2
"f00taxi01",2,5.2
"f00taxi02",2,5.2
"f00truck00",2.8,11.4
"f00truck01",2.8,11.4
"f00truck02",2.8,11.4
"f00truck03",2.8,11.4
"f00truck04",2.8,11.4
"f00truck05",2.8,11.4
"f00truck06",2.8,11.4
"f00truck07",2.8,11.4
"f00wagon00",2,5.2
"f00wagon01",2,5.2
"f00wagon02",2,5.2
"f00wagon03",2,5.2
"f00wagon04",2,5.2
"f00squadvehicle00",2,5.2
"f00train00",2,54.5
