int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15
0,0,0,0,-1,-1,"d0301","d0302","d0303","d0304","d0305","d0306","d0307","d0308","d03","last"
103010,10000,301,0,25923,25922,"","col_d0301_start_04_0","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103011,10000,301,1,2780,2840,"","col_d0301_start_03_0","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103012,10000,301,2,1605,1606,"","col_d0301_start_03_0","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103013,10000,301,3,-1,-1,"","col_d0301_start_03_0
col_d0301_start_05_0","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103020,10000,302,0,2780,2840,"col_d0302_start_00_0","","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103021,10000,302,1,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103030,10000,303,0,2780,2840,"change_0002","col_d0301_start_03_0","","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103031,10000,303,1,-1,-1,"change_0002"," ","","col_d0303_start_01_0","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103040,10000,304,0,-1,-1,"gim_access01","col_d0301_start_03_0","change_0001","","col_d0304_start_01_0","change_0001","","gim_0001","","last"
103050,10000,305,0,3667,3670,"col_d0302_start_00_0
col_d0302_start_02_0","hoe_gim","change_0001","col_d0305_start_00_0","","change_0001","","gim_0001","","last"
103051,10000,305,1,-1,-1,"gim_access01","col_d0301_start_03_0","change_0001","col_d0305_start_00_0","","change_0001","","gim_0001","","last"
103060,10000,306,0,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","col_d0306_start_00_0","change_0001","change_0001","col_d0304_start_01_0","","","gim_0001","","last"
103070,10000,307,0,-1,-1,"","","","","","","","","","last"
103080,10000,308,0,-1,-1,"gim_0001","col_d0301_start_03_0","change_0001","change_0001","col_d0304_start_01_0","change_0001","","","","last"
30000,0,3000,0,-1,-1,"","theater_0001","","","","","","","d0302","last"
101000,10000,100,0,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
102000,10000,200,0,6903,6904,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
102001,10000,200,1,6904,6903,"col_d0302_start_00_0
col_d0302_start_02_0","access_icon_01","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
102002,10000,200,2,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
104000,10000,400,0,6903,6904,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
104001,10000,400,1,6904,6903,"col_d0302_start_00_0
col_d0302_start_02_0","access_icon_01","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
104002,10000,400,2,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
105000,10000,500,0,6903,6904,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
105001,10000,500,1,6904,6903,"col_d0302_start_00_0
col_d0302_start_02_0","access_icon_01","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
105002,10000,500,2,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
106000,10000,600,0,6903,6904,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
106001,10000,600,1,6904,6903,"col_d0302_start_00_0
col_d0302_start_02_0","access_icon_01","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
106002,10000,600,2,-1,-1,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
107000,10000,700,0,6903,6904,"col_d0302_start_00_0
col_d0302_start_02_0","map_0001","change_0001","change_0001","col_d0304_start_01_0","change_0001","","gim_0001","d0302","last"
