string3 0,string3 1
"chr000","chr000LOC"
"chr001","chr001LOC"
"chr002","chr002LOC"
"chr003","chr003LOC"
"chr005","chr005LOC"
"chr009","chr009LOC"
"chr010","chr010LOC"
"chr011","chr011LOC"
"chr012","chr012LOC"
"chr013","chr013LOC"
"chr014","chr014LOC"
"chr015","chr015LOC"
"chr016","chr016LOC"
"chr017","chr017LOC"
"chr020","chr020LOC"
"chr023","chr023LOC"
"chr025","chr025LOC"
"chr028","chr028LOC"
"chr030","chr030LOC"
"chr041","chr041LOC"
"chr042","chr042LOC"
"chr044","chr044LOC"
"chr050","chr050LOC"
"chr051","chr051LOC"
"chr052","chr052LOC"
"chr053","chr053LOC"
"chr055","chr055LOC"
"chr056","chr056LOC"
"chr058","chr058LOC"
"chr061","chr061LOC"
"chr068","chr068LOC"
"chr070","chr070LOC"
"chr072","chr072LOC"
"chr074","chr074LOC"
"chr077","chr077LOC"
"chr078","chr078LOC"
"chr079","chr079LOC"
"chr080","chr080LOC"
"chr081","chr081LOC"
"chr085","chr085LOC"
"chr087","chr087LOC"
"chr088","chr088LOC"
"chr090","chr090LOC"
"chr091","chr091LOC"
"chr092","chr092LOC"
"chr093","chr093LOC"
"chr094","chr094LOC"
"chr096","chr096LOC"
"chr097","chr097LOC"
"chr100","chr100LOC"
"chr102","chr102LOC"
"chr103","chr103LOC"
"chr107","chr107LOC"
"chr111","chr111LOC"
"chr112","chr112LOC"
"chr113","chr113LOC"
"chr114","chr114LOC"
"chr115","chr115LOC"
"chr130","chr130LOC"
"chr132","chr132LOC"
"chr136","chr136LOC"
"chr137","chr137LOC"
"chr140","chr140LOC"
"chr146","chr146LOC"
"chr151","chr151LOC"
"chr162","chr162LOC"
"chr163","chr163LOC"
"chr183a","chr183aLOC"
"chr190","chr190LOC"
"chr191","chr191LOC"
"chr192","chr192LOC"
"chr199","chr199LOC"
"chr208","chr208LOC"
"chr209","chr209LOC"
"chr218","chr218LOC"
"chr219","chr219LOC"
"chr220","chr220LOC"
"chr222","chr222LOC"
"chr226","chr226LOC"
