int 0,string2 1,empty 2,int 3,int 4,int 5,empty 6,string2 7,bool 8,string2 9,empty 10,string2 11,string2 12,empty 13,string2 14,string2 15,empty 16,string2 17,string2 18,empty 19,string2 20,string2 21,empty 22,string2 23,string2 24,empty 25,string2 26,string2 27,empty 28,string2 29,string2 30,empty 31,string2 32,string2 33,empty 34,string2 35,string2 36,empty 37,string2 38,string2 39,empty 40,empty 41,empty 42
1002,"tutorial_title_AdditionalAttack_01","",0,11070,4502,"","",1,"tutorial_exp_AdditionalAttack_01_001","","tutorial_exp_AdditionalAttack_01_001","tutorial_exp_AdditionalAttack_01_002","","tutorial_exp_AdditionalAttack_01_002","tutorial_exp_AdditionalAttack_01_003","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1003,"tutorial_title_Compatibility_01","",0,11050,4503,"","",1,"tutorial_exp_Compatibility_01_001","","tutorial_exp_Status_04_001","tutorial_exp_Compatibility_01_002","","tutorial_exp_Compatibility_01_002","tutorial_exp_Compatibility_01_003","","","tutorial_exp_Compatibility_01_004","","","","","","","","","","","","","","","","","","","","","","","",""
1004,"tutorial_title_BattleCrossarts_01","",0,12090,4504,"","",1,"tutorial_exp_BattleCrossarts_01_001","","tutorial_exp_BattleCrossarts_01_001","tutorial_exp_BattleCrossarts_01_002","","tutorial_exp_BattleCrossarts_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1005,"tutorial_title_Escape_01","",0,13070,4505,"","",1,"tutorial_exp_Escape_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1006,"tutorial_title_Guard_01","",0,13040,4506,"","",1,"tutorial_exp_Guard_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1007,"tutorial_title_Analysis_01","",0,13080,4507,"","",1,"tutorial_exp_Analysis_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1012,"tutorial_title_CpAdd_01","",0,12110,4512,"","",1,"tutorial_exp_CpAdd_01_001","","tutorial_exp_CpAdd_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1013,"tutorial_title_CpFluctuation_01","",0,12120,4513,"","",1,"tutorial_exp_CpFluctuation_01_001","","tutorial_exp_CpFluctuation_01_001","tutorial_exp_CpFluctuation_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1015,"tutorial_title_Dead_01","",0,12230,4515,"","",1,"tutorial_exp_Dead_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1017,"tutorial_title_AttackCategory_01","",0,11080,4517,"","",1,"tutorial_exp_AttackCategory_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1018,"tutorial_title_Attribute_01","",0,11030,4518,"","",1,"tutorial_exp_Attribute_01_001","","","tutorial_exp_Attribute_01_002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1019,"tutorial_title_Factor_01","",0,11040,4519,"","",1,"tutorial_exp_Factor_01_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
