int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1030101,4140004,0,1,"",0,0,"","enemy_syako","","","","",46.879,0.825,93.013,134.447,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"ba01",0,1,"",0,10,10,0,0,0,0,0,0,30,0,0,0,360,2.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,2,0,2,4,3,"",0,2,4,6,5,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030102,90021,0,2,"",0,0,"","enemy_syako","","","","",65.97,0.824,95.317,134.447,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"ba01",0,1,"",0,10,10,0,0,0,0,0,0,30,0,0,0,360,2.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,2,0,2,4,3,"",0,2,4,6,5,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030103,21102120,0,3,"",0,0,"","enemy_syako","","","","",60.197,0.922,80.426,198.036,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"",0,1,"",0,10,10,0,0,0,0,0,0,30,0,0,0,360,2.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,2,0,2,4,3,"",0,2,4,6,5,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030104,20700570,0,4,"",0,0,"","enemy_syako","","","","",85.269,0.88,82.622,-49.732,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"ba01",0,1,"",0,10,10,0,0,0,0,0,0,30,0,0,0,360,2.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,2,0,2,4,3,"",0,2,4,6,5,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030105,5041602,0,5,"",0,0,"","enemy_syako","","","","",72.845,0.922,78.51,274.899,1,1,-1,-1,-1,-1,"symbol01","f000","",0,0,"ba01",0,1,"",0,10,10,0,0,0,0,0,0,30,0,0,0,360,2.5,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,2,0,2,4,3,"",0,2,4,6,5,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030106,5081310,0,10,"",0,0,"","","","","","",6.011,0.79,18.583,124.135,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,1,3,3,"rail_move_011",0,1.5,0,4,10,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030107,11110040,0,10,"",0,0,"","","","","","",7.86,0.747,-81.352,180,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,1,3,3,"rail_move_013",0,1.5,0,4,10,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030108,92001,0,10,"",0,0,"","","","","","",39.215,0.532,-68.152,84.118,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,1,3,3,"rail_move_012",0,1.5,0,4,10,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030109,11900800,0,10,"",0,0,"","","","","","",42.965,0.474,-84.876,-164.193,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,1,3,3,"rail_move_014",0,1.5,0,4,10,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1030110,90317,0,10,"",0,0,"","","","","","",48.113,0.792,-89.505,-157.68,1,1,-1,-1,-1,-1,"symbol01","ba01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,1,3,3,"rail_move_015",0,1.5,0,4,10,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
