int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
2051101,4440006,0,-1,"",0,0,"1","chr317","1","","","",10,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051102,30000500,0,-1,"",0,0,"2","chr317","2","","","",7.5,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051103,90048,0,-1,"",0,0,"3","chr317","3","","","",5,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051104,90595,0,-1,"",0,0,"4","chr052","8","","","",10,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051105,4250004,0,-1,"",0,0,"5","chr052","12","","","",7.5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051106,90241,0,-1,"",0,0,"6","chr191","15","","","",8,31,-121,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,6,5,"",0,3,0,7,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051107,5031001,0,-1,"",0,0,"7","chr317","21","","","",-5,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051108,21101020,0,-1,"",0,0,"8","chr317","22","","","",-7.5,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051109,10510700,0,-1,"",0,0,"9","chr317","23","","","",-10,30,-122,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051110,90013,0,-1,"",0,0,"10","chr052","26","","","",5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051111,21102121,0,-1,"",0,0,"11","chr052","28","","","",2.5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051112,4063005,0,-1,"",0,0,"12","chr191","30","","","",-8,31,-121,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,6,5,"",0,3,0,7,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051113,11900800,0,-1,"",0,0,"13","chr317","46","","","",9,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051114,21102120,0,-1,"",0,0,"14","chr317","47","","","",6.5,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051115,90044,0,-1,"",0,0,"15","chr705","49","","","",7,30,-128,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,8,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051116,90214,0,-1,"",0,0,"16","chr052","52","","","",-10,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051117,90303,0,-1,"",0,0,"17","chr052","55","","","",-7.5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051118,90683,0,-1,"",0,0,"18","chr191","60","","","",-4,32,-120,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,6,5,"",0,3,0,7,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051119,4101001,0,-1,"",0,0,"19","chr317","62","","","",-4,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051120,90419,0,-1,"",0,0,"20","chr705","63","","","",0,30,-128,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,8,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051121,30001100,0,-1,"",0,0,"21","chr317","65","","","",-9,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051122,90111,0,-1,"",0,0,"22","chr052","66","","","",-5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051123,29001660,0,-1,"",0,0,"23","chr052","67","","","",-2.5,30,-125,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,0,0,0,4,5,"",0,3,0,5,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051124,90728,0,-1,"",0,0,"24","chr191","69","","","",4,32,-120,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,6,5,"",0,3,0,7,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051125,90080,0,-1,"",0,0,"25","chr317","70","","","",4,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051126,11110500,0,-1,"",0,0,"26","chr705","73","","","",3.5,30,-128,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,8,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051127,11900700,0,-1,"",0,0,"27","chr317","75","","","",-6.5,30,-120,0,1,1,-1,-1,-1,-1,"","bs01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051128,5081212,0,-1,"",0,0,"28","chr308","78","","","",0,32,-120,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,5,5,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,6,5,"",0,3,0,7,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051129,4080002,0,-1,"",0,0,"29","chr705","83","","","",-3.5,30,-128,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,8,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051130,90683,0,-1,"",0,0,"30","chr705","86","","","",-7,30,-128,0,1,1,-1,-1,-1,-1,"","ba02","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,8,5,"",0,3,0,8,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
