int 0,empty 1,int 2,empty 3,empty 4,int 5,empty 6,bool 7,bool 8,bool 9,int 10,int 11,float 12,float 13,string2 14,int 15,int 16,int 17,int 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,empty 31,int 32,int 33,int 34,int 35,int 36,int 37,empty 38,int 39,int 40,empty 41,int 42,int 43
101,"",814,"","",101,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,50,80,210,50,210,50,160,"",0,264,8,160,16,22133,"",100,0,"",0,0
201,"",2,"","",201,"",0,1,0,0,20,-1,0.1,"",0,0,1,1,1,1,1,1,1,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,20
301,"",917,"","",301,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
401,"",401,"","",401,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
501,"",5,"","",501,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
502,"",105,"","",501,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,40,60,130,60,130,60,130,"",0,84,6,80,8,0,"",0,0,"",0,15
601,"",886,"","",601,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
602,"",6,"","",601,"",0,1,1,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,0,80,0,0,0,0,0,"",0,264,8,160,16,0,"",0,0,"",0,10
603,"",926,"","",601,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,0,80,0,0,0,0,0,"",0,264,8,160,16,0,"",0,0,"",0,10
901,"",24,"","",901,"",0,1,0,0,20,-1,0.1,"",0,0,1,1,1,1,1,1,1,30,50,120,20,120,20,100,"",0,24,6,40,4,0,"",0,0,"",0,20
1001,"",105,"","",1001,"",0,1,0,0,20,-1,0.05,"",0,0,1,1,1,1,1,1,1,40,60,170,40,170,40,130,"",0,484,6,80,8,0,"",0,0,"",0,15
