int 0,empty 1,float 2,float 3,float 4
20803,"",0,0,15
29261,"",0,0,20
50001,"",0,0,20
50002,"",0,0,20
50003,"",0,0,20
50005,"",0,0,20
50006,"",0,0,30
50007,"",0,0,20
50009,"",0,0,20
50010,"",0,0,30
50011,"",0,0,20
50013,"",0,0,20
50014,"",0,0,30
50015,"",0,0,20
50017,"",0,0,20
50018,"",0,0,30
50019,"",0,0,20
50021,"",0,0,20
50022,"",0,0,30
50023,"",0,0,20
50025,"",0,0,20
50026,"",0,0,30
50027,"",0,0,20
50029,"",0,0,20
50030,"",0,0,30
50031,"",0,0,20
50033,"",0,0,20
50034,"",0,0,30
50035,"",0,0,20
50037,"",0,0,20
50038,"",0,0,30
50039,"",0,0,20
50041,"",0,0,20
50042,"",0,0,30
50043,"",0,0,20
50045,"",0,0,20
50046,"",0,0,30
50047,"",0,0,20
50049,"",0,0,20
50050,"",0,0,30
50051,"",0,0,15
