int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,int 7,int 8,int 9,int 10
1,1,"",924,"",0,-1,-1,-1,-1,-1
2,1,"",375,"",0,-1,-1,-1,-1,-1
3,1,"",677,"",0,-1,-1,-1,-1,-1
4,1,"",217,"",0,-1,-1,-1,-1,-1
5,1,"",964,"",0,-1,-1,-1,-1,-1
6,1,"",616,"",0,-1,-1,-1,-1,-1
7,2,"",915,"",0,-1,-1,-1,-1,-1
8,2,"",412,"",0,-1,-1,-1,-1,-1
9,2,"",226,"",0,-1,-1,-1,-1,-1
10,2,"",451,"",0,-1,-1,-1,-1,-1
11,2,"",171,"",0,-1,-1,-1,-1,-1
12,2,"",805,"",0,-1,-1,-1,-1,-1
13,3,"",231,"",0,-1,-1,-1,-1,-1
14,3,"",814,"",0,-1,-1,-1,-1,-1
15,3,"",804,"",0,-1,-1,-1,-1,-1
16,3,"",311,"",0,-1,-1,-1,-1,-1
17,3,"",4,"",0,-1,-1,-1,-1,-1
18,3,"",937,"",0,-1,-1,-1,-1,-1
19,4,"",168,"",0,-1,-1,-1,-1,-1
20,4,"",977,"",0,-1,-1,-1,-1,-1
21,4,"",985,"",0,-1,-1,-1,-1,-1
22,4,"",95,"",0,-1,-1,-1,-1,-1
23,4,"",23,"",0,-1,-1,-1,-1,-1
24,4,"",380,"",0,-1,-1,-1,-1,-1
25,5,"",836,"",0,-1,-1,-1,-1,-1
26,5,"",364,"",0,-1,-1,-1,-1,-1
27,5,"",209,"",0,-1,-1,-1,-1,-1
28,5,"",814,"",0,-1,-1,-1,-1,-1
29,5,"",173,"",0,-1,-1,-1,-1,-1
30,5,"",983,"",0,-1,-1,-1,-1,-1
31,6,"",514,"",0,-1,-1,-1,-1,-1
32,6,"",754,"",0,-1,-1,-1,-1,-1
33,6,"",187,"",0,-1,-1,-1,-1,-1
34,6,"",681,"",0,-1,-1,-1,-1,-1
35,6,"",117,"",0,-1,-1,-1,-1,-1
36,6,"",733,"",0,-1,-1,-1,-1,-1
37,9,"",394,"",0,-1,-1,-1,-1,-1
38,9,"",363,"",0,-1,-1,-1,-1,-1
39,9,"",184,"",0,-1,-1,-1,-1,-1
40,9,"",359,"",0,-1,-1,-1,-1,-1
41,9,"",368,"",0,-1,-1,-1,-1,-1
42,9,"",772,"",0,-1,-1,-1,-1,-1
43,10,"",24,"",0,-1,-1,-1,-1,-1
44,10,"",227,"",0,-1,-1,-1,-1,-1
45,10,"",687,"",0,-1,-1,-1,-1,-1
46,10,"",403,"",0,-1,-1,-1,-1,-1
47,10,"",952,"",0,-1,-1,-1,-1,-1
48,10,"",36,"",0,-1,-1,-1,-1,-1
49,11,"",492,"",0,-1,-1,-1,-1,-1
50,11,"",931,"",0,-1,-1,-1,-1,-1
51,11,"",510,"",0,-1,-1,-1,-1,-1
52,11,"",375,"",0,-1,-1,-1,-1,-1
53,11,"",676,"",0,-1,-1,-1,-1,-1
54,11,"",987,"",0,-1,-1,-1,-1,-1
55,12,"",401,"",0,-1,-1,-1,-1,-1
56,12,"",465,"",0,-1,-1,-1,-1,-1
57,12,"",397,"",0,-1,-1,-1,-1,-1
58,12,"",395,"",0,-1,-1,-1,-1,-1
59,12,"",801,"",0,-1,-1,-1,-1,-1
60,12,"",315,"",0,-1,-1,-1,-1,-1
61,13,"",404,"",0,-1,-1,-1,-1,-1
62,13,"",100,"",0,-1,-1,-1,-1,-1
63,13,"",698,"",0,-1,-1,-1,-1,-1
64,13,"",479,"",0,-1,-1,-1,-1,-1
65,13,"",76,"",0,-1,-1,-1,-1,-1
66,13,"",138,"",0,-1,-1,-1,-1,-1
67,14,"",931,"",0,-1,-1,-1,-1,-1
68,14,"",751,"",0,-1,-1,-1,-1,-1
69,14,"",974,"",0,-1,-1,-1,-1,-1
70,14,"",51,"",0,-1,-1,-1,-1,-1
71,14,"",126,"",0,-1,-1,-1,-1,-1
72,14,"",915,"",0,-1,-1,-1,-1,-1
73,15,"",399,"",0,-1,-1,-1,-1,-1
74,15,"",991,"",0,-1,-1,-1,-1,-1
75,15,"",454,"",0,-1,-1,-1,-1,-1
76,15,"",815,"",0,-1,-1,-1,-1,-1
77,15,"",579,"",0,-1,-1,-1,-1,-1
78,15,"",305,"",0,-1,-1,-1,-1,-1
79,16,"",136,"",0,-1,-1,-1,-1,-1
80,16,"",192,"",0,-1,-1,-1,-1,-1
81,16,"",228,"",0,-1,-1,-1,-1,-1
82,16,"",959,"",0,-1,-1,-1,-1,-1
83,16,"",510,"",0,-1,-1,-1,-1,-1
84,16,"",4,"",0,-1,-1,-1,-1,-1
85,17,"",4,"",0,-1,-1,-1,-1,-1
86,17,"",968,"",0,-1,-1,-1,-1,-1
87,17,"",237,"",0,-1,-1,-1,-1,-1
88,17,"",910,"",0,-1,-1,-1,-1,-1
89,17,"",87,"",0,-1,-1,-1,-1,-1
90,17,"",84,"",0,-1,-1,-1,-1,-1
91,19,"",864,"",0,-1,-1,-1,-1,-1
92,19,"",223,"",0,-1,-1,-1,-1,-1
93,19,"",514,"",0,-1,-1,-1,-1,-1
94,19,"",716,"",0,-1,-1,-1,-1,-1
95,19,"",428,"",0,-1,-1,-1,-1,-1
96,19,"",627,"",0,-1,-1,-1,-1,-1
97,20,"",710,"",0,-1,-1,-1,-1,-1
98,20,"",237,"",0,-1,-1,-1,-1,-1
99,20,"",577,"",0,-1,-1,-1,-1,-1
100,20,"",678,"",0,-1,-1,-1,-1,-1
101,20,"",180,"",0,-1,-1,-1,-1,-1
102,20,"",982,"",0,-1,-1,-1,-1,-1
103,21,"",180,"",0,-1,-1,-1,-1,-1
104,21,"",338,"",0,-1,-1,-1,-1,-1
105,21,"",171,"",0,-1,-1,-1,-1,-1
106,21,"",737,"",0,-1,-1,-1,-1,-1
107,21,"",774,"",0,-1,-1,-1,-1,-1
108,21,"",452,"",0,-1,-1,-1,-1,-1
109,23,"",709,"",0,-1,-1,-1,-1,-1
110,23,"",370,"",0,-1,-1,-1,-1,-1
111,23,"",716,"",0,-1,-1,-1,-1,-1
112,23,"",397,"",0,-1,-1,-1,-1,-1
113,23,"",229,"",0,-1,-1,-1,-1,-1
114,23,"",893,"",0,-1,-1,-1,-1,-1
115,24,"",609,"",0,-1,-1,-1,-1,-1
116,24,"",83,"",0,-1,-1,-1,-1,-1
117,24,"",413,"",0,-1,-1,-1,-1,-1
118,24,"",962,"",0,-1,-1,-1,-1,-1
119,24,"",241,"",0,-1,-1,-1,-1,-1
120,24,"",68,"",0,-1,-1,-1,-1,-1
121,25,"",863,"",0,-1,-1,-1,-1,-1
122,25,"",150,"",0,-1,-1,-1,-1,-1
123,25,"",894,"",0,-1,-1,-1,-1,-1
124,25,"",425,"",0,-1,-1,-1,-1,-1
125,25,"",96,"",0,-1,-1,-1,-1,-1
126,25,"",868,"",0,-1,-1,-1,-1,-1
127,26,"",181,"",0,-1,-1,-1,-1,-1
128,26,"",376,"",0,-1,-1,-1,-1,-1
129,26,"",454,"",0,-1,-1,-1,-1,-1
130,26,"",410,"",0,-1,-1,-1,-1,-1
131,26,"",54,"",0,-1,-1,-1,-1,-1
132,26,"",406,"",0,-1,-1,-1,-1,-1
133,27,"",190,"",0,-1,-1,-1,-1,-1
134,27,"",13,"",0,-1,-1,-1,-1,-1
135,27,"",596,"",0,-1,-1,-1,-1,-1
136,27,"",909,"",0,-1,-1,-1,-1,-1
137,27,"",972,"",0,-1,-1,-1,-1,-1
