int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7
1,"",213,385,5,88,226,744
2,"",178,16,981,631,393,873
3,"",376,113,917,574,9,188
4,"",232,416,837,364,90,92
5,"",130,227,770,621,11,310
6,"",577,563,172,209,491,669
9,"",102,913,775,921,916,753
10,"",139,374,388,614,610,603
11,"",998,138,863,412,227,755
12,"",749,367,709,12,41,767
13,"",25,710,773,676,95,38
14,"",623,737,148,884,578,995
15,"",617,87,145,193,869,752
16,"",600,988,733,226,129,453
17,"",606,102,466,115,748,804
19,"",419,594,235,149,975,365
20,"",885,317,676,814,613,240
21,"",72,38,60,510,78,1
23,"",458,914,310,162,777,629
24,"",31,139,577,930,229,631
25,"",756,801,219,670,61,211
26,"",431,927,232,896,751,25
27,"",83,11,75,985,679,440
28,"",374,466,391,137,394,456
30,"",757,173,752,92,775,367
31,"",373,775,198,199,27,724
32,"",361,44,426,179,732,514
33,"",208,70,756,802,466,720
34,"",992,455,754,884,196,133
35,"",954,235,417,894,181,804
36,"",173,844,306,222,972,627
37,"",407,961,812,58,163,76
38,"",325,604,338,133,699,925
39,"",887,721,466,348,424,223
40,"",150,136,196,461,101,675
41,"",421,586,577,428,706,218
42,"",745,41,569,17,907,342
43,"",744,577,704,226,50,490
44,"",983,869,913,582,368,32
45,"",484,973,186,94,959,394
46,"",317,32,745,740,85,412
47,"",55,84,225,804,865,365
48,"",915,411,240,888,198,349
49,"",964,974,344,584,47,943
50,"",379,682,698,941,230,137
51,"",564,13,142,749,422,731
52,"",383,199,92,399,878,171
53,"",927,316,117,171,908,586
54,"",421,170,918,426,996,369
55,"",338,752,967,392,978,491
56,"",465,72,453,46,716,702
57,"",195,451,186,140,877,411
58,"",346,241,82,148,601,147
59,"",174,116,235,301,451,198
60,"",23,876,405,759,670,937
61,"",58,928,913,399,235,304
68,"",490,728,682,726,967,136
69,"",767,601,938,188,515,49
70,"",866,405,177,32,936,706
71,"",512,73,774,173,410,6
72,"",929,709,431,367,325,574
73,"",564,870,115,365,96,209
74,"",21,33,45,77,50,999
75,"",225,993,163,880,958,453
76,"",373,144,363,219,309,20
77,"",168,925,98,30,368,134
78,"",972,39,95,320,632,489
79,"",709,891,877,176,932,344
80,"",582,231,750,735,306,398
81,"",9,704,968,240,173,906
82,"",38,996,75,322,416,878
83,"",434,564,28,745,94,103
84,"",988,237,304,95,365,724
85,"",872,179,749,180,963,149
86,"",105,465,891,198,836,193
87,"",868,709,716,72,479,994
88,"",106,983,706,760,580,60
90,"",871,772,73,868,878,576
91,"",510,83,983,932,140,177
92,"",320,193,394,933,439,183
93,"",610,742,239,140,387,757
94,"",5,60,310,776,3,610
95,"",398,423,718,773,458,142
96,"",374,494,93,130,53,931
97,"",564,174,396,678,428,772
98,"",772,222,494,967,423,48
100,"",78,399,990,391,86,213
101,"",92,185,629,382,14,391
102,"",459,225,720,970,197,957
103,"",325,998,93,59,952,342
104,"",396,697,413,813,60,136
105,"",344,908,980,700,192,305
106,"",915,930,466,588,310,834
107,"",579,146,311,395,425,93
111,"",133,961,321,373,880,899
112,"",379,914,151,934,924,171
113,"",406,237,451,933,219,377
114,"",699,750,414,466,348,926
115,"",226,376,730,896,760,800
116,"",760,759,437,59,975,197
117,"",12,574,437,209,421,397
118,"",998,584,898,361,97,805
126,"",361,304,897,815,314,191
127,"",52,582,37,140,723,748
128,"",748,983,424,228,725,977
129,"",210,677,181,597,973,882
130,"",140,150,78,977,93,455
132,"",978,90,308,315,234,226
133,"",457,908,58,382,359,675
134,"",129,106,315,237,454,21
135,"",6,906,979,417,895,680
136,"",199,114,778,400,740,59
137,"",742,980,97,930,60,954
138,"",398,938,106,969,837,711
139,"",934,90,400,573,881,71
140,"",951,718,227,580,679,602
141,"",412,359,699,304,233,47
142,"",387,370,345,457,126,79
144,"",961,914,394,404,142,53
145,"",754,940,966,994,873,758
146,"",85,142,40,317,127,580
147,"",73,739,778,373,77,219
148,"",320,228,741,909,609,126
149,"",214,626,429,369,916,770
150,"",919,36,943,910,27,632
151,"",680,377,150,26,1,864
162,"",95,465,615,41,450,747
163,"",489,871,239,307,629,979
168,"",984,55,21,82,100,716
169,"",963,985,899,176,983,981
170,"",173,229,11,14,406,909
171,"",956,739,387,344,163,752
172,"",836,101,939,882,71,953
173,"",406,755,812,101,721,995
174,"",198,976,151,1,596,879
176,"",710,54,421,678,399,345
177,"",729,961,220,128,364,115
178,"",953,548,877,383,230,401
179,"",600,930,730,162,11,435
180,"",321,929,370,87,880,709
181,"",913,953,573,86,239,103
183,"",465,391,440,514,397,772
184,"",595,77,687,402,419,407
185,"",117,424,32,392,313,616
186,"",959,596,79,770,981,387
187,"",751,126,230,730,58,138
188,"",55,927,626,474,142,728
189,"",74,228,910,57,113,596
190,"",744,43,679,683,348,439
191,"",3,226,595,312,134,626
192,"",771,577,906,578,426,231
193,"",15,885,220,906,680,458
194,"",178,87,68,416,171,177
195,"",138,978,36,580,745,177
196,"",208,104,779,960,71,916
197,"",741,479,172,777,118,615
198,"",976,55,187,760,375,743
199,"",876,898,742,223,834,412
208,"",512,349,994,103,976,951
209,"",989,722,178,734,590,79
210,"",911,997,83,756,57,974
211,"",23,836,613,579,770,15
213,"",700,611,757,880,609,730
214,"",630,431,369,970,90,723
215,"",74,870,836,86,190,88
217,"",388,373,194,176,309,943
218,"",621,972,610,960,37,189
219,"",580,974,162,938,139,240
220,"",400,387,6,309,77,679
222,"",237,577,917,973,590,31
223,"",168,881,240,898,80,896
224,"",865,43,172,772,375,455
225,"",100,592,580,681,59,412
226,"",118,92,240,990,40,410
227,"",214,911,682,141,679,239
228,"",140,957,771,403,371,606
229,"",969,135,913,429,679,670
230,"",306,301,489,370,5,113
231,"",314,30,61,434,938,708
232,"",232,804,229,873,510,802
233,"",428,209,631,758,176,141
234,"",698,425,688,980,805,134
235,"",133,867,429,229,453,427
237,"",405,777,59,579,815,426
239,"",57,53,93,88,431,241
240,"",835,459,883,414,92,967
241,"",804,195,865,732,117,778
242,"",677,815,577,301,242,749
301,"",880,937,615,227,868,313
302,"",936,440,627,88,896,578
303,"",52,940,27,463,342,96
304,"",408,700,133,77,19,737
305,"",228,377,208,176,321,16
306,"",102,802,450,172,73,77
307,"",305,896,738,567,586,435
308,"",991,170,41,802,757,921
309,"",326,178,427,718,96,758
310,"",15,461,800,962,379,90
311,"",921,466,741,316,302,239
312,"",435,452,867,775,347,129
313,"",368,1,58,957,49,880
314,"",772,24,629,81,376,706
315,"",84,766,582,427,130,974
316,"",490,439,139,409,844,375
317,"",96,882,888,906,976,242
320,"",892,399,132,899,453,956
321,"",697,951,13,615,623,408
322,"",56,603,132,604,716,12
325,"",325,57,998,17,240,69
326,"",844,911,595,431,345,909
328,"",716,171,990,463,72,885
338,"",179,896,404,209,90,344
341,"",186,586,600,94,14,419
342,"",995,312,896,754,967,53
343,"",54,400,196,938,311,802
344,"",213,132,365,801,373,303
345,"",723,113,376,133,225,631
346,"",338,38,883,616,194,680
347,"",421,414,148,450,101,800
348,"",459,45,56,938,423,186
349,"",3,772,677,682,242,734
359,"",116,576,140,211,406,388
361,"",754,98,58,347,452,365
363,"",104,345,698,342,424,98
364,"",514,326,364,214,957,742
365,"",606,921,189,939,870,453
367,"",927,342,596,308,116,875
368,"",220,137,33,588,420,32
369,"",613,224,316,907,72,767
370,"",134,90,921,892,383,128
371,"",515,187,491,145,80,943
372,"",709,578,112,971,994,735
373,"",195,306,881,103,2,687
374,"",78,577,812,1,981,755
375,"",14,512,755,215,999,733
