int 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,bool 17,bool 18,bool 19,bool 20,string2 21,int 22,string2 23,string2 24,int 25,string2 26,string2 27,int 28,string2 29,string2 30,int 31,string2 32,string2 33,int 34,string2 35,string2 36,int 37,string2 38,string2 39,int 40,string2 41,string2 42,int 43,string2 44,string2 45,int 46,string2 47,string2 48,int 49,string2 50,string2 51,int 52,int 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,bool 79,bool 80
11001001,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_03_320",0,"FLAG_MAIN_03_380","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
11001002,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_02_010",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
11003001,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"","FLAG_MAIN_02_010",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10401001,"A2020_dbef_120","A2020_dbef_450","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10401010,"P2028_daft_280","P2028_daft_340","A2028_daft_220","A2028_daft_350","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10402001,"A2020_dbef_120","A2020_dbef_450","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10402010,"P2028_daft_280","P2028_daft_340","A2028_daft_220","A2028_daft_350","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10405001,"A2020_dbef_120","A2020_dbef_450","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10405010,"P2028_daft_280","P2028_daft_340","A2028_daft_220","A2028_daft_350","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10505001,"A2028_daft_10","A2028_daft_490","P2028_daft_220","P2028_daft_450","Z2028_daft_220","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10701001,"P2028_daft_360","P2028_daft_10000","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
10703001,"P2028_daft_360","P2028_daft_10000","","","","","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
101001,"A2020_dbef_10","A2020_dbef_450","","","","","","","A2020_dbef_200","A2020_dbef_210","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
101002,"A2028_daft_10","A2028_daft_450","P2028_daft_10","P2028_daft_450","Z2028_daft_10","Z2028_daft_450","","","","","","","","","","",1,1,1,1,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1
