int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
21431,"","","","ef_b_chr143_bs01",1,"",3,0,1,0,-1,-1,false,""
21751,"","","","ef_b_chr175_bs01",1,"",3,0,1,0,0,-1,false,""
21752,"","","","ef_b_chr175_bs02",1,"",3,0,1,0,-1,-1,false,""
21821,"","","","ef_b_chr182_bs01",1,"",3,0,1,0,-1,-1,false,""
21822,"","","","ef_b_chr182_bs02",1,"",3,0,1,0,-1,-1,false,""
23271,"","","","ef_b_chr327_bs01",1,"",3,0,1,0,-1,-1,false,""
27121,"","","","ef_b_chr712_bs01",1,"",3,0,1,0,-1,-1,false,""
27131,"","","","ef_b_chr713_bs01",1,"",3,0,1,0,-1,-1,false,""
27141,"","","","ef_b_chr714_bs01",1,"",3,0,1,0,-1,-1,false,""
27151,"","","","ef_b_chr715_bs01",1,"",3,0,1,0,-1,-1,false,""
