string2 0,empty 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8
"chr714J_head","",0,0,0,0,0,0,1
"chr714J_body2","",0,0,-10,-0.0871557,0,0,0.996195
"chr182J_head","",0,0,0,0,0,0,1
"chr182J_body2","",0,0,-20,-0.173648,0,0,0.984808
"chr715J_head","",0,0,0,0,0,0,1
"chr715J_body2","",0,0,-30,-0.258819,0,0,0.965926
"chr713J_head","",0,0,0,0,0,0,1
"chr713J_chest","",0,0,-20,-0.173648,0,0,0.984808
"chr712J_haed","",0,0,0,0,0,0,1
"chr712J_neck","",0,0,0,0,0,0,1
"chr712J_spine02","",0,0,-35,-0.300706,0,0,0.953717
"chr327J_haed","",0,0,0,0,0,0,1
"chr327J_neck","",0,0,0,0,0,0,1
"chr327J_spine02","",-8,-10,-15,-0.123685,-0.09527,-0.0575481,0.98606
