int 0,int 1,string 2,string 3,string 4,string 5,string 6,string 7,string 8,string 9,string 10,string 11,string 12,string 13,string 14
0,0,"","","","","","","","","","","","",""
1,1,"(行動バフ攻撃)/100","(対象バフ防御)/100","","","1+(行動属性攻撃補正-対象属性防御補正)/100","1+(行動与ダメ補正-対象被ダメ補正)/100","1+(行動レベル*(1+行動レベル/30))/100","行動攻撃力*(1+行動補正値１)","対象防御力*(1+対象補正値１)","(基本攻撃値*80*(1+行動レベル*行動レベル/9801*100/100))*威力/(基本防御値*35)","基本ダメ*(1+(属性種族所属相関)/100)","相関ダメ*属性補正*ダメ補正*レベル補正","補正ダメ*揺らぎ*(クリティカル/100)"
2,2,"(行動バフ知力)/100","(対象バフ精神)/100","","","1+(行動属性攻撃補正-対象属性防御補正)/100","1+(行動与ダメ補正-対象被ダメ補正)/100","1+(行動レベル*(1+行動レベル/30))/100","行動知力*(1+行動補正値１)","対象精神*(1+対象補正値１)","(基本攻撃値*80*(1+行動レベル*行動レベル/9801*100/100))*威力/(基本防御値*35)","基本ダメ*(1+(属性種族所属相関)/100)","相関ダメ*属性補正*ダメ補正*レベル補正","補正ダメ*揺らぎ*(クリティカル/100)"
3,1,"(行動バフ素早さ)/100","(対象バフ素早さ)/100","","","1+(行動属性攻撃補正-対象属性防御補正)/100","1+(行動与ダメ補正-対象被ダメ補正)/100","1+(行動レベル*2)/100","行動素早さ*(1+行動補正値１)","対象素早さ*(1+対象補正値１)","(基本攻撃値*80)*威力/(基本防御値*35)","基本ダメ*(1+(属性種族所属相関)/100)","相関ダメ*属性補正*ダメ補正*レベル補正","補正ダメ*揺らぎ*(クリティカル/100)"
4,3,"","","","","1+(行動属性攻撃補正-対象属性防御補正)/100","","","","","威力","基本ダメ*(1+(属性種族所属相関)/100)","相関ダメ*属性補正","補正ダメ"
5,3,"","","","","","","","","","","","","対象HPSP*(威力/100)"
6,3,"","","","","","","","","","","","","対象最大HPSP*(威力/100)"
7,3,"","","","","","","","","","","","","対象HPSP-威力"
8,4,"(行動バフ精神)/100","","","","","1+(対象回復補正/100)","","行動精神*(1+行動補正値１)/30","","(基本攻撃値*威力)","","基本ダメ*ダメ補正","補正ダメ*揺らぎ"
9,4,"","","","","","1+(対象回復補正/100)","","","","","","","威力*ダメ補正"
10,4,"","","","","","1+(対象回復補正/100)","","","","","","","対象最大HPSP*(威力/100)*ダメ補正"
11,3,"(行動バフ攻撃)/100","(対象バフ防御)/100","(行動バフ知力)/100","(対象バフ精神)/100","1+(行動属性攻撃補正-対象属性防御補正)/100","1+(行動与ダメ補正-対象被ダメ補正)/100","1+(行動レベル*2)/100","(行動攻撃力*(1+行動補正値１))+(行動知力*(1+行動補正値２))","(対象防御力*(1+対象補正値１))+(対象精神*(1+対象補正値２))","(基本攻撃値*80)*威力/(基本防御値*35)","基本ダメ*(1+(属性種族所属相関)/100)","相関ダメ*属性補正*ダメ補正*レベル補正","補正ダメ*揺らぎ*(クリティカル/100)"
12,5,"0","","","","","","","","","","","0","0"
