int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10
0,0,1,1,300,300,300,300,300,300,300
1,0,1,0,200,200,200,200,200,200,200
2,0,2,1,100,100,100,100,100,100,100
3,0,2,0,50,50,50,50,50,50,50
4,0,0,1,150,150,150,150,150,150,150
5,0,0,0,100,100,100,100,100,100,100
6,1,1,1,450,450,450,450,450,450,450
7,1,1,0,300,300,300,300,300,300,300
8,1,2,1,150,150,150,150,150,150,150
9,1,2,0,100,100,100,100,100,100,100
10,1,0,1,225,225,225,225,225,225,225
11,1,0,0,150,150,150,150,150,150,150
12,2,1,1,500,500,500,500,500,500,500
13,2,1,0,400,400,400,400,400,400,400
14,2,2,1,200,200,200,200,200,200,200
15,2,2,0,150,150,150,150,150,150,150
16,2,0,1,300,300,300,300,300,300,300
17,2,0,0,200,200,200,200,200,200,200
18,3,1,1,200,200,200,200,200,200,200
19,3,1,0,150,150,150,150,150,150,150
20,3,2,1,50,50,50,50,50,50,50
21,3,2,0,25,25,25,25,25,25,25
22,3,0,1,100,100,100,100,100,100,100
23,3,0,0,50,50,50,50,50,50,50
24,4,1,1,0,0,0,0,0,0,0
25,4,1,0,0,0,0,0,0,0,0
26,4,2,1,0,0,0,0,0,0,0
27,4,2,0,0,0,0,0,0,0,0
28,4,0,1,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0,0,0
