int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,21,16,9,8,13,9,9
3,21,16,9,8,13,9,9
4,21,16,9,8,13,9,9
5,21,16,9,8,13,9,9
6,21,16,9,8,13,9,9
7,21,16,9,8,13,9,9
8,21,16,9,8,13,9,9
9,21,16,9,8,13,9,9
10,21,16,9,8,13,9,9
11,21,16,9,8,13,9,9
12,21,16,9,8,13,9,9
13,21,16,9,8,13,9,9
14,21,16,9,8,13,9,9
15,21,16,9,8,13,9,9
16,21,16,9,8,13,9,9
17,21,16,9,8,13,9,9
18,21,16,9,8,13,9,9
19,21,16,9,8,13,9,9
20,21,16,9,8,13,9,9
21,21,16,9,8,13,9,9
22,21,16,9,8,13,9,9
23,21,16,9,8,13,9,9
24,21,16,9,8,13,9,9
25,21,16,9,8,13,9,9
26,21,16,9,8,13,9,9
27,21,16,9,8,13,9,9
28,21,16,9,8,13,9,9
29,21,16,9,8,13,9,9
30,21,16,9,8,13,9,9
31,21,16,9,8,13,9,9
32,21,16,9,8,13,9,9
33,21,16,9,8,13,9,9
34,21,16,9,8,13,9,9
35,21,16,9,8,13,9,9
36,9,7,4,3,6,4,4
37,9,7,4,3,6,4,4
38,9,7,4,3,6,4,4
39,9,7,4,3,6,4,4
40,9,7,4,3,6,4,4
41,9,7,4,3,6,4,4
42,9,7,4,3,6,4,4
43,9,7,4,3,6,4,4
44,9,7,4,3,6,4,4
45,9,7,4,3,6,4,4
46,9,7,4,3,6,4,4
47,9,7,4,3,6,4,4
48,9,7,4,3,6,4,4
49,9,7,4,3,6,4,4
50,9,7,4,3,6,4,4
51,9,7,4,3,6,4,4
52,9,7,4,3,6,4,4
53,9,7,4,3,6,4,4
54,9,7,4,3,6,4,4
55,9,7,4,3,6,4,4
56,9,7,4,3,6,4,4
57,9,7,4,3,6,4,4
58,9,7,4,3,6,4,4
59,9,7,4,3,6,4,4
60,9,7,4,3,6,4,4
61,9,7,4,3,6,4,4
62,9,7,4,3,6,4,4
63,9,7,4,3,6,4,4
64,9,7,4,3,6,4,4
65,9,7,4,3,6,4,4
66,9,7,4,3,6,4,4
67,9,7,4,3,6,4,4
68,9,7,4,3,6,4,4
69,9,7,4,3,6,4,4
70,9,7,4,3,6,4,4
71,7,6,3,2,4,2,3
72,7,6,3,2,4,2,3
73,7,6,3,2,4,2,3
74,7,6,3,2,4,2,3
75,7,6,3,2,4,2,3
76,7,6,3,2,4,2,3
77,7,6,3,2,4,2,3
78,7,6,3,2,4,2,3
79,7,6,3,2,4,2,3
80,7,6,3,2,4,2,3
81,7,6,3,2,4,2,3
82,7,6,3,2,4,2,3
83,7,6,3,2,4,2,3
84,7,6,3,2,4,2,3
85,7,6,3,2,4,2,3
86,7,6,3,2,4,2,3
87,7,6,3,2,4,2,3
88,7,6,3,2,4,2,3
89,7,6,3,2,4,2,3
90,7,6,3,2,4,2,3
91,7,6,3,2,4,2,3
92,7,6,3,2,4,2,3
93,7,6,3,2,4,2,3
94,7,6,3,2,4,2,3
95,7,6,3,2,4,2,3
96,7,6,3,2,4,2,3
97,7,6,3,2,4,2,3
98,7,6,3,2,4,2,3
99,7,6,3,2,4,2,3
