int 0,string3 1,int 2,string2 3,string2 4,bool 5,string2 6,int 7,int 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int 35,int 36,float 37,float 38,float 39,float 40,int 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int 50,int 51,int 52,int 53,string2 54,string2 55,int 56
11102001,"",-1,"fa_obstacles_01","fa_obj",0,"d1102grate00",1,0,"","","","","",0,0,44,0,-6.8,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_001","1",-1
11102002,"",-1,"fa_treasure_01","fa_obj",0,"f00drum00",1,0,"","","","","",0,0,-72.638,3,-39.066,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_011","1",21102002
11102003,"",-1,"fa_treasure_02","fa_obj",0,"f00drum01",1,0,"","","","","",0,0,-17.499,0,1.945,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_012","1",21102003
11102004,"",-1,"fa_treasure_03","fa_obj",0,"f00box00",1,0,"","","","","",0,0,9.181,0,33.127,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_013","1",21102004
11102005,"",-1,"fa_treasure_04","fa_obj",0,"f00drum01",1,0,"","","","","",0,0,17.171,0,-29.719,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_014","1",21102005
11102006,"",-1,"fa_treasure_05","fa_obj",0,"f00drum00",1,0,"","","","","",0,0,17.772,-3,-76.9,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_015","1",21102006
11102007,"",-1,"fa_treasure_06","fa_obj",0,"f00drum01",1,0,"","","","","",0,0,39.768,0,-16.275,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,1,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1102_016","1",21102007
11102100,"",11,"door01","",0,"d11door00",1,0,"","","","","",0,0,-3.15,0,-5,90,0,0,1,1,"wall_cl",6,3,1.5,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102200,"",10,"","",0,"f00electgate00",1,0,"","","","","",0,0,46.487,-0.001,-12.77,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102201,"",10,"","",0,"f00electgate00",1,0,"","","","","",0,0,41.5,-0.001,-12.77,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102202,"",10,"","",0,"d1102floorcable00",1,1,"","","","","",0,0,0,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102300,"",10,"obj_shield_a01","",0,"f00electshield00",1,0,"","","","","",0,0,44.86,1.2,-12.77,0,0,0,1,1,"wall_cl",8,3,1,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102301,"",10,"obj_shield_a02","",0,"f00electshield00",1,0,"","","","","",0,0,43.248,1.2,-12.77,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102400,"",10,"barrierdevice_access01","",0,"f00barrier00",1,0,"","","","e001","",0,0,55.625,-0.001,-38.89,315,0,0,1,1,"wall_cl",3,3,3,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102401,"",10,"barrierdevice_access02","",0,"f00barrier00",1,0,"","","","e001","",0,0,44.131,-0.001,-21.286,180,0,0,1,1,"wall_cl",3,3,4,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102402,"",10,"barrierdevice_access03","",0,"f00barrier00",1,0,"","","","e001","",0,0,37.083,-0.001,-39.821,45,0,0,1,1,"wall_cl",3,3,4,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102403,"",10,"","",0,"d10evobject00",1,0,"","","","","",0,0,53.506,-0.001,-41.055,270,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102404,"",10,"","",0,"d10evobject00",1,0,"","","","","",0,0,41.777,-0.001,-41.245,0,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
