int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
302001,"",3,"gim_0001",1,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
302100,"",-1,"obj_0001",0,"f00barricade00",1,0,"","","","","",0,0,"",0,0,0,0,0
302101,"",-1,"obj_0002",0,"f00barricade00",1,0,"","","","","",0,0,"",0,0,0,0,0
302400,"",10,"map_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
302401,"",10,"map_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
302402,"",10,"map_0003",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
302500,"",11,"theater_0001",0,"f00theaterdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
302501,"",-1,"start_50",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
302900,"",1,"obj_9001",0,"f00squadvehicle00",1,0,"","","","","",0,0,"",0,0,0,0,0
302901,"",2,"obj_9002",0,"f00squadvehicle00",1,0,"","","","","",0,0,"",0,0,0,0,0
