int 0,int 1,int 2,empty 3,empty 4,int 5,empty 6,empty 7,int 8,empty 9,empty 10,int 11,empty 12,empty 13,int 14,empty 15,empty 16,int 17,empty 18,empty 19,int 20,empty 21,empty 22,int 23,empty 24,empty 25,int 26,empty 27,empty 28,int 29,int 30,int 31,int 32,int 33,int 34,int 35,int 36,int 37
101,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",102,-1,-1,108,-1,-1,-1,-1,-1
102,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",101,-1,-1,106,108,-1,-1,-1,-1
106,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",102,-1,-1,-1,-1,-1,-1,-1,-1
107,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",108,-1,-1,-1,-1,-1,-1,-1,-1
108,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",102,-1,101,107,-1,-1,-1,-1,-1
10201,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10202,-1,-1,-1,-1,10211,10212,10213,-1
10202,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,10204,-1,10215,-1,-1,-1,-1,-1
10203,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,-1,-1,-1,-1,-1,-1,-1,-1
10204,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10202,-1,-1,-1,-1,-1,-1,-1,-1
10211,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,-1,-1,-1,-1,-1,-1,-1,-1
10212,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,-1,-1,-1,-1,-1,-1,-1,-1
10213,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,-1,-1,-1,-1,-1,-1,-1,-1
10215,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10202,-1,-1,-1,-1,-1,-1,-1,-1
10216,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10201,-1,-1,-1,-1,-1,-1,-1,-1
10217,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10202,-1,-1,-1,-1,-1,-1,-1,-1
10801,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10802,-1,-1,-1,-1,-1,-1,-1,-1
10802,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",10801,-1,-1,-1,-1,-1,-1,-1,-1
11001,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11003,11002,-1,-1,-1,-1,-1,-1,-1
11002,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11001,11401,-1,-1,-1,-1,-1,-1,-1
11003,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11001,-1,-1,-1,-1,-1,-1,-1,-1
11102,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1
11401,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11002,11403,-1,-1,-1,-1,-1,-1,-1
11402,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11401,11403,-1,-1,-1,-1,-1,-1,-1
11403,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11401,-1,-1,11405,-1,-1,-1,-1,-1
11404,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11401,-1,11403,11405,-1,-1,-1,-1,-1
11405,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",-1,11406,-1,-1,-1,-1,-1,-1,-1
11406,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11405,11407,-1,-1,-1,-1,-1,-1,-1
11407,1,1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",1,"","",11406,-1,-1,-1,-1,-1,-1,-1,-1
