int 0,string3 1,string3 2,int 3,int 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int 11,int 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
10201,"","mob003010101",0,0,"","","fn01","",0,0,99,1,1,-0.722,0,24.243,-174.816,0,0,1,1,6,6,0,-1,"","",""
10202,"","mob014010101",0,0,"","","fn54","",0,0,99,2,2,1.159,0,1.43,-188.689,0,0,1,1,6,6,0,-1,"","",""
10203,"","mob071",0,0,"","","fn01","",0,0,99,3,3,-11.414,0.183,-72.379,-186.992,0,0,1,1,6,6,0,-1,"","",""
10204,"","mob015010101",0,0,"","","e117","",0,0,99,4,4,5.562,0,35.819,12.891,0,0,1,1,6,6,0,-1,"","",""
10205,"","mob004010101",0,0,"","","fn02","",0,0,99,5,5,-0.738,0,-9.306,-88.665,0,0,1,1,6,6,0,-1,"","",""
10206,"","mob014010101",0,0,"","","fn01","",0,0,99,6,6,16.622,0.267,-71.983,-221.043,0,0,1,1,6,6,0,-1,"","",""
10207,"","mob003010101",0,0,"","","fn06","",0,0,3,7,7,4.268,0,-34.369,-37.31,0,0,1,1,6,6,0.3,-1,"","",""
10208,"","mob051",0,0,"","","fn01","",0,0,3,8,8,3.938,0,-33.742,138.285,0,0,1,1,6,6,0,-1,"","",""
10209,"","mob001010101",0,0,"","","fn07","",0,0,3,9,9,-21.11,0.272,-71.869,12.166,0,0,1,1,6,6,0,-1,"","",""
10210,"","mob015010101",0,0,"","","fn01","",0,0,3,10,10,11.204,0.105,-66.677,-22.876,0,0,1,1,6,6,0,-1,"","",""
10211,"","mob001010101",0,0,"","","fn09","",0,0,3,11,11,-9.778,0.101,-32.865,165.923,0,0,1,1,6,6,0,-1,"","",""
10212,"","mob003",0,0,"","","fn02","",0,0,3,12,12,5.065,0,27.547,79.373,0,0,1,1,6,6,0,-1,"","",""
10213,"","mob004",0,0,"","","fn07","",0,0,3,13,13,-6.198,0.036,6.777,60.826,0,0,1,1,6,6,0,-1,"","",""
10214,"","mob017",0,0,"","","fn02","",0,0,3,14,14,7.349,0.369,-16.732,-305.933,0,0,1,1,6,6,0,-1,"","",""
10215,"","mob151",0,0,"","","fn02","",0,0,2,15,15,-1.385,0,-0.167,-310.769,0,0,1,1,8,8,0,-1,"","",""
10216,"","mob075",0,0,"","","fn08","",0,0,2,16,16,-5.05,0,-67.059,-199.365,0,0,1,1,40,40,0,-1,"","",""
10217,"","mob063",0,0,"","","fn54","",0,0,4,17,17,-2.71,-0.001,-24.543,-176.506,0,0,1,1,15,15,0,-1,"","",""
10218,"","mob091",0,0,"","","fn70","",0,0,4,18,18,3.395,0,-69.494,-167.93,0,0,1,1,20,20,0,-1,"","",""
10219,"","mob193",0,0,"","","fn50","",0,0,4,19,19,-5.303,0,1.262,46.532,0,0,1,1,15,15,0,-1,"","",""
10220,"","mob151020101",0,0,"","","fn51","",0,0,2,20,20,0.665,-0.001,34.366,57.726,0,0,1,1,9,9,0,-1,"","",""
10221,"","mob095020101",0,0,"","","fn02","",0,0,2,23,23,2.33,0,-11.422,-35.492,0,0,1,1,7,7,0,-1,"","",""
10222,"","mob071",0,0,"","","fn09","",0,0,2,24,24,-40.976,0.27,-72.989,-35.492,0,0,1,1,7,7,0,-1,"","",""
10223,"","mob067010101",0,0,"","","fn02","",0,0,2,25,25,-5.525,0,6.56,-310.769,0,0,1,1,8,8,0,-1,"","",""
10224,"","mob077010101",0,0,"","","fn02","",0,0,2,26,26,4.97,0,-71.333,-168.215,0,0,1,1,40,40,0.4,-1,"","",""
