int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17
0,0,0,0,-1,-1,"d0401","d0402","d0403","d0404","d0405","d0406","d0407","d0408","d0409","d0410","d04","last"
30000,0,3000,0,-1,-1,"","","","theater_0001","","","","","","","d0404","last"
104010,10000,401,0,3060,3200,"","ride_whip_0009","col_d0401_start_01_0","col_d0405_start_00_0","col_d0402_start_00_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104011,10000,401,1,-1,-1,"","ride_whip_0009","col_d0401_start_01_0","col_d0403_start_01_0","col_d0404_start_01_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104020,10000,402,0,-1,-1,"ride_whip_0015","","col_d0404_start_00_0","col_d0405_start_00_0","col_d0402_start_00_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104030,10000,403,0,-1,-1,"col_d0403_start_00_0","col_d0405_start_01_0","","col_d0403_start_01_0","col_d0404_start_01_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104040,10000,404,0,3820,3858,"col_d0403_start_00_0","ride_whip_0009","col_d0404_start_00_0","","col_d0404_start_01_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104041,10000,404,1,-1,-1,"col_d0403_start_00_0","col_d0405_start_01_0","col_d0404_start_00_0","","col_d0404_start_01_0","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104050,10000,405,0,-1,-1,"col_d0402_start_01_0","col_d0405_start_01_0","col_d0404_start_00_0","col_d0405_start_00_0","","col_d0407_start_01_0","col_d0404_start_02_0","","","","","last"
104060,10000,406,0,-1,-1,"col_d0403_start_00_0","col_d0405_start_01_0","col_d0404_start_00_0","col_d0407_start_00_0","col_d0404_start_01_0","","col_d0406_start_00_0","","","","","last"
104070,10000,407,0,-1,-1,"col_d0403_start_00_0","col_d0405_start_01_0","col_d0404_start_00_0","col_d0407_start_00_0","col_d0404_start_01_0","col_d0407_start_01_0","","","","","","last"
104080,10000,408,0,-1,-1,"","","","","","","","","","","","last"
104090,10000,409,0,-1,-1,"","","","","","","","","","","","last"
104100,10000,410,0,-1,-1,"","","","","","","","","","","","last"
101000,10000,100,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
101001,10000,100,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
101002,10000,100,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
102000,10000,200,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
102001,10000,200,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
102002,10000,200,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
103000,10000,300,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
103001,10000,300,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
103002,10000,300,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
105000,10000,500,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
105001,10000,500,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
105002,10000,500,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
106000,10000,600,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
106001,10000,600,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
106002,10000,600,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
107000,10000,700,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
107001,10000,700,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
107002,10000,700,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
110000,10000,1000,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
110001,10000,1000,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
110002,10000,1000,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
111000,10000,1100,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
111001,10000,1100,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
111002,10000,1100,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
112000,10000,1200,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
112001,10000,1200,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
112002,10000,1200,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
113000,10000,1300,0,6903,6904,"map_0001","","","","","","","","","","d0401","last"
113001,10000,1300,1,6904,6903,"ride_whip_0015","access_icon_01","","","","","","","","","d0402","last"
113002,10000,1300,2,-1,-1,"map_0001","","","","","","","","","","d0401","last"
