string2 0,string2 1,empty 2,string2 3,string2 4,empty 5,empty 6,string2 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,bool 15
"pc001a_1","pc001a","","1","chr348","","","GRP_joint",0,0,0,0,0,0,1,0
"pc001a_2","pc001a","","2","chr348","","","GRP_joint",0,0,0,0,0,0,1,0
"pc001a_3","pc001a","","3","chr009","","","FP01",0,0,0,0,0,0,1,0
"pc001a_4","pc001a","","4","ef_f_foo_110_wa","","","FP01",0,0,0,0,0,0,1,0
"pc001a_5","pc001a","","5","ef_f_dun_110_pt","","","GRP_joint",0,0,0,0,0,0,1,0
"pc001a_6","pc001a","","6","f00iconobj00","","","GRP_joint",0,0,0,0,0,0,1,0
"pc001a_9","pc001a","","9","ATCdigivice00","","","l_props",0,0,0,0,0,0,1,1
"pc001a_10","pc001a","","10","ATCdigivice00","","","r_props",0,0,0,0,0,0,1,1
"pc001a_11","pc001a","","11","d09nuts00","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc001a_12","pc001a","","12","d09nuts01","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc001a_13","pc001a","","13","d09nuts02","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc001a_14","pc001a","","14","d09nuts03","","","FP01",0,0.15,0,270,0,0,1.2,0
"pc001a_15","pc001a","","15","atc_callingshell00","","","r_props",0.1,0,-0.16,180,-20,0,1,1
"pc002a_1","pc002a","","1","chr348","","","GRP_joint",0,0,0,0,0,0,1,0
"pc002a_2","pc002a","","2","chr348","","","GRP_joint",0,0,0,0,0,0,1,0
"pc002a_3","pc002a","","3","chr009","","","FP01",0,0,0,0,0,0,1,0
"pc002a_4","pc002a","","4","ef_f_foo_110_wa","","","FP01",0,0,0,0,0,0,1,0
"pc002a_5","pc002a","","5","ef_f_dun_110_pt","","","GRP_joint",0,0,0,0,0,0,1,0
"pc002a_6","pc002a","","6","f00iconobj00","","","GRP_joint",0,0,0,0,0,0,1,0
"pc002a_9","pc002a","","9","ATCdigivice00","","","l_props",0,0,0,0,0,0,1,1
"pc002a_10","pc002a","","10","ATCdigivice00","","","r_props",0,0,0,0,0,0,1,1
