string2 0,string 1
"2","Instant Death"
"3","{is28}{image(ui_icon_btlStatus_000)} Poison"
"4",""
"5","{is28}{image(ui_icon_btlStatus_002)} Confusion"
"6","{is28}{image(ui_icon_btlStatus_003)} Paralysis"
"7","{is28}{image(ui_icon_btlStatus_004)} Sleep"
"8","{is28}{image(ui_icon_btlStatus_005)} Deadly Poison"
"9",""
"10","{is28}{image(ui_icon_btlStatus_007)} Chaos"
"11","{is28}{image(ui_icon_btlStatus_008)} Immobilization"
"12","{is28}{image(ui_icon_btlStatus_009)} Deep Slumber"
"13","{is28}{image(ui_icon_btlStatus_010)} Crystallization"
"14","{is28}{image(ui_icon_btlStatus_011)} Reverse"
"15","HP Recovery Rate Up"
"16","HP Recovery Rate Down"
"17","SP Recovery Rate Up"
"18","SP Recovery Rate Down"
"19","{is28}{image(ui_icon_btlStatus_032)} Max HP Up"
"20","{is28}{image(ui_icon_btlStatus_034)} Max HP Down"
"21","{is28}{image(ui_icon_btlStatus_033)} Max SP Up"
"22","{is28}{image(ui_icon_btlStatus_035)} Max SP Down"
"23","{is28}{image(ui_icon_btlStatus_014)} Turn HP Recovery"
"24","{is28}{image(ui_icon_btlStatus_015)} Turn SP Recovery"
"25","{is28}{image(ui_icon_btlStatus_016)} ATK Up"
"26","{is28}{image(ui_icon_btlStatus_018)} DEF Up"
"27","{is28}{image(ui_icon_btlStatus_020)} INT Up"
"28","{is28}{image(ui_icon_btlStatus_022)} SPI Up"
"29","{is28}{image(ui_icon_btlStatus_024)} SPD Up"
"30","{is28}{image(ui_icon_btlStatus_026)} ACU Up"
"31","{is28}{image(ui_icon_btlStatus_028)} EVA Up"
"32","{is28}{image(ui_icon_btlStatus_030)} CRT Rate Up"
"33","{is28}{image(ui_icon_btlStatus_017)} ATK Down"
"34","{is28}{image(ui_icon_btlStatus_019)} DEF Down"
"35","{is28}{image(ui_icon_btlStatus_021)} INT Down"
"36","{is28}{image(ui_icon_btlStatus_023)} SPI Down"
"37","{is28}{image(ui_icon_btlStatus_025)} SPD Down"
"38","{is28}{image(ui_icon_btlStatus_027)} ACU Down"
"39","{is28}{image(ui_icon_btlStatus_029)} EVA Down"
"40","{is28}{image(ui_icon_btlStatus_031)} CRT Rate Down"
"41","{is28}{image(ui_icon_btlStatus_059)} Null Resistance Up"
"42","{is28}{image(ui_icon_btlStatus_049)} Fire Resistance Up"
"43","{is28}{image(ui_icon_btlStatus_050)} Ice Resistance Up"
"44","{is28}{image(ui_icon_btlStatus_051)} Plant Resistance Up"
"45","{is28}{image(ui_icon_btlStatus_052)} Water Resistance Up"
"46","{is28}{image(ui_icon_btlStatus_053)} Electricity Resistance Up"
"47","{is28}{image(ui_icon_btlStatus_056)} Steel Resistance Up"
"48","{is28}{image(ui_icon_btlStatus_055)} Wind Resistance Up"
"49","{is28}{image(ui_icon_btlStatus_054)} Earth Resistance Up"
"50","{is28}{image(ui_icon_btlStatus_057)} Light Resistance Up"
"51","{is28}{image(ui_icon_btlStatus_058)} Dark Resistance Up"
"52",""
"53",""
"54",""
"55",""
"56",""
"57",""
"58",""
"59",""
"60",""
"61",""
"62",""
"63","{is28}{image(ui_icon_btlStatus_070)} Null Resistance Down"
"64","{is28}{image(ui_icon_btlStatus_060)} Fire Resistance Down"
"65","{is28}{image(ui_icon_btlStatus_061)} Ice Resistance Down"
"66","{is28}{image(ui_icon_btlStatus_062)} Plant Resistance Down"
"67","{is28}{image(ui_icon_btlStatus_063)} Water Resistance Down"
"68","{is28}{image(ui_icon_btlStatus_064)} Electricity Resistance Down"
"69","{is28}{image(ui_icon_btlStatus_067)} Steel Resistance Down"
"70","{is28}{image(ui_icon_btlStatus_066)} Wind Resistance Down"
"71","{is28}{image(ui_icon_btlStatus_065)} Earth Resistance Down"
"72","{is28}{image(ui_icon_btlStatus_068)} Light Resistance Down"
"73","{is28}{image(ui_icon_btlStatus_069)} Dark Resistance Down"
"74",""
"75",""
"76",""
"77",""
"78",""
"79",""
"80",""
"81",""
"82",""
"83",""
"84",""
"85","{is28}{image(ui_icon_btlStatus_036)} Counter Physical"
"86","{is28}{image(ui_icon_btlStatus_037)} Counter Magic"
"87","{is28}{image(ui_icon_btlStatus_038)} Reflect Physical"
"88","{is28}{image(ui_icon_btlStatus_039)} Reflect Magic"
"89","{is28}{image(ui_icon_btlStatus_040)} Status Abnormality Immunity"
"90","{is28}{image(ui_icon_btlStatus_041)} Stat Debuff Immunity"
"91","{is28}{image(ui_icon_btlStatus_042)} Guts"
"92","{is28}{image(ui_icon_btlStatus_043)} Guard"
"93","{is28}{image(ui_icon_btlStatus_044)} Physical Damage Taken Up"
"94","{is28}{image(ui_icon_btlStatus_044)} Physical Damage Taken Down"
"95","{is28}{image(ui_icon_btlStatus_045)} Magic Damage Taken Up"
"96","{is28}{image(ui_icon_btlStatus_045)} Magic Damage Taken Down"
"97","{is28}{image(ui_icon_btlStatus_044)} Physical Damage Dealt Up"
"98","{is28}{image(ui_icon_btlStatus_044)} Physical Damage Dealt Down"
"99","{is28}{image(ui_icon_btlStatus_045)} Magic Damage Dealt Up"
"100","{is28}{image(ui_icon_btlStatus_045)} Magic Damage Dealt Down"
"101","{is28}{image(ui_icon_btlStatus_046)} Charge Physical"
"102","{is28}{image(ui_icon_btlStatus_047)} Charge Magic"
"103","{is28}{image(ui_icon_btlStatus_048)} Taunting"
"105","Immobilized next turn."
"106","Acts First"
"107","Acts Last"
"108",""
"109",""
"110",""
"111",""
"112","stat buffs"
"113","stat debuffs"
"114","status abnormalities"
"115","{is28}{image(ui_icon_btlStatus_012)} Injury/{is28}{image(ui_icon_btlStatus_013)} Disease"
"116","All Status Abnormalities"
"117",""
"118","{is28}{image(ui_icon_btlStatus_012)} Injury"
"119","{is28}{image(ui_icon_btlStatus_013)} Disease"
"120","Addled"
