string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"ba01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ba02","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bd01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bd02","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bd03","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bf01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bg01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bg02","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bn01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bn02","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"br01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bs01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bs02","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bs03","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"bv01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e002","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e002_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e003","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e003_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e004","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e004_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e005","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e005_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e006","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e006_01","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e007","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e007_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e008","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e008_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e009","l_scarf01",0,"r_scarf01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e009_01","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e010","l_scarf01",1,"r_scarf01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
