int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
2031201,5031006,0,1,"",0,0,"","50","","","","",55,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031202,5031006,0,1,"",0,0,"","50","","","","",52,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031203,5031006,0,1,"",0,0,"","50","","","","",50,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031204,5031006,0,1,"",0,0,"","50","","","","",46,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031205,5031006,0,1,"",0,0,"","50","","","","",44,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031206,5031006,0,1,"",0,0,"","50","","","","",45,29.499,-29,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031207,5031006,0,1,"",0,0,"","50","","","","",57,29.499,-27,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031208,5031006,0,1,"",0,0,"","50","","","","",53.136,29.499,-37.015,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031209,5031006,0,1,"",0,0,"","50","","","","",55.108,29.499,-37.492,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
2031210,5031006,0,1,"",0,0,"","50","","","","",54.243,29.499,-35.581,90,4,0,0.7,0.7,0.7,0.7,"","f000","",0,0,"f000",6,1,"",0,30,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,1,0,1,0,0,0,2,5,0,"",0,1,3,0,0,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
