int 0,int 1,string3 2,string3 3,int 4,int 5,int 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int 14,int 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,int 24,float 25,float 26,float 27,float 28,int 29,int 30,string3 31,string3 32,string3 33,int 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
20404001,2,"","chr020",0,0,0,"","","fn02_01","",0,0,"F01",0,0,13.281,0.978,-18.24,30.778,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404002,2,"","chr020",0,0,0,"","","fe02","",0,0,"F01",0,0,16.683,-0.01,-17.444,-53.897,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404003,2,"","chr466",0,0,0,"","","fe01","",0,0,"F01",0,0,20.987,1.011,4.289,343.554,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404004,2,"","chr466",0,0,0,"","","fe02","",0,0,"F01",0,0,64.045,-5.209,-28.724,-99.987,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404005,2,"","chr567",0,0,0,"","","fe01","",0,0,"F01",0,0,-9.903,1.99,-4.273,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404006,2,"","chr567",0,0,0,"","","bn01","",0,0,"F01",0,0,-11.238,1.984,-4.286,43.221,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404007,2,"","chr567",0,0,0,"","","ba02","",0,0,"F01",0,0,-9.941,3.113,-3.07,-191.881,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404009,2,"","chr316",0,0,0,"","","fq01","",0,0,"F01",0,0,38.964,0.009,-5.781,363.765,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404010,2,"","chr466",0,0,0,"","","fe02","",0,0,"F01",0,0,39.739,0.652,-4.436,294.229,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404011,2,"","chr413",0,0,0,"","","fe02","",0,0,"F01",0,0,30.139,0.01,-13.78,80.59,0,0,1,1,0,0,0,0,-1,0,0,"","","rail_move_01",1,0,1,-1,"","","","","",""
20404019,2,"","chr044",0,0,0,"","","bn01","",0,0,"F01",0,0,-59.008,1.99,-12.043,119.247,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404020,2,"","chr020",0,0,0,"","","bn02","",0,0,"F01",0,0,14.946,0.074,-17.219,37.08,-90,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404021,2,"","chr569",0,0,0,"","","f000","",0,0,"F01",0,0,-66.931,3.376,4.528,-257.259,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404022,2,"","chr316",0,0,0,"","","br01","",0,0,"F01",0,0,31.756,0.009,17.292,28.961,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,1,-1,"","","","","",""
20404023,2,"","chr322",0,0,0,"","","br01","",0,0,"F01",0,0,34.765,0.01,-3.601,179.151,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,1,-1,"","","","","",""
20404024,2,"","chr466",0,0,0,"","","br01","",0,0,"F01",0,0,11.797,0.01,-6.758,463.183,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,1,-1,"","","","","",""
20404025,2,"","chr466",0,0,0,"","","br01","",0,0,"F01",0,0,-56.18,1.99,-1.641,369.656,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,1,-1,"","","","","",""
20404026,2,"","chr316",0,0,0,"","","br01","",0,0,"F01",0,0,-15.733,1.989,-4.764,440.671,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,1,-1,"","","","","",""
20404027,2,"","chr226",0,0,0,"","","fq02","",0,0,"F01",0,0,-21.904,1.99,-9.727,-427.686,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404028,2,"","chr081",0,0,0,"","","f000","",0,0,"F01",2,0,90.731,-6.761,-34.058,574.037,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404042,2,"","chr316",0,0,0,"","","fe02","",1,3,"F01",0,0,38.673,0,-3.962,171.028,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404043,2,"","chr569",0,0,0,"","","f000","",0,0,"F01",0,0,46.416,3.5,-20,-343.718,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404044,2,"","chr567",0,0,0,"","","bn01","",0,0,"F01",0,0,54.651,-2.1,-18.609,-16.024,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404045,2,"","chr567",0,0,0,"","","ba02","",0,0,"F01",0,0,54.988,-1.777,-16.107,-152.674,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404046,2,"","chr388",0,0,0,"","","ba02","",0,0,"F01",0,0,32.451,11.273,26.793,-63.445,0,0,1,1,0,0,0,0,-1,1,0,"","デジモンデフォルト","",1,0,1,-1,"","","","","",""
20404047,2,"","chr388",0,0,0,"","","fe01","",0,0,"F01",0,0,31.21,11.273,27.786,118.305,0,0,1,1,0,0,0,0,-1,1,0,"","デジモンデフォルト","",1,0,1,-1,"","","","","",""
20404048,2,"","chr569",0,0,0,"","","f000","",0,0,"F01",0,0,28.592,3.87,29.928,-306.889,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404050,2,"","chr307",0,0,0,"","","ba02","",0,0,"F01",0,0,43.4,9.19,7.5,-130.411,0,0,1,1,0,0,0,0,-1,1,0,"","デジモンデフォルト","",1,0,1,-1,"","","","","",""
20404051,2,"","chr314",0,0,0,"","","bn01","",0,0,"F01",0,0,4.307,15.18,-11.548,54.018,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404052,2,"","chr610",0,0,0,"","","fq01","",0,0,"F01",0,0,4.283,15.18,-8.451,139.652,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404054,2,"","chr428",0,0,0,"","","fe02","",0,0,"F01",0,0,4.449,15.18,-9.895,425.437,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404055,2,"","chr091",0,0,0,"","","fq02","",0,0,"F01",0,0,48.483,-0.007,14.375,803.251,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404056,2,"","chr308",0,0,0,"","","br01","",0,0,"F01",0,0,149.989,99.025,59.453,-11.15,0,0,1,1,0,0,0,0,-1,1,1,"","デジモンデフォルト","rail_move_103",0,0,1,-1,"","","","","",""
20404057,2,"","chr014",0,0,0,"","","fq01","",0,0,"F02",0,0,-16.846,1.99,-17.426,31.609,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404058,2,"","chr316",0,0,0,"","","fe02","",0,0,"F01",0,0,-16.72,1.981,-16.194,165.311,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404059,2,"","chr316",0,0,0,"","","fe01","",0,0,"F01",0,0,-15.494,1.981,-16.335,231.633,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404060,2,"","chr316",0,0,0,"","","bn02","",0,0,"F01",2,0,-16.413,2.023,-17.052,391.517,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404062,2,"","chr316",0,0,0,"","","br01","",0,0,"F01",0,0,37.169,0,6.439,88.907,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_06",1,0,1,-1,"","","","","",""
20404063,2,"","chr317",0,0,0,"","","br01","",0,0,"F01",0,0,34.837,0,0.44,-61.092,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_06",1,0,1,-1,"","","","","",""
20404064,2,"","chr569",0,0,0,"","","f000","",0,0,"F01",0,0,20.01,4.446,58.443,-434.927,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404065,2,"","chr569",0,0,0,"","","fe01","",0,0,"F01",0,0,18.99,4.556,59.547,-255.718,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404069,2,"","chr308",0,0,0,"","","br01","",0,0,"F01",0,0,-3.778,53.015,63.737,63.003,0,0,1,1,0,0,0,0,-1,1,1,"","デジモンデフォルト","rail_move_102",0,0,1,-1,"","","","","",""
20404070,2,"","chr011",0,0,0,"","","br01","",0,0,"F01",0,0,-18.178,45.666,-43.995,27.928,0,0,1,1,0,0,0,0,-1,1,1,"","デジモンデフォルト","rail_move_100",0,0,1,-1,"","","","","",""
20404071,2,"","chr308",0,0,0,"","","br01","",0,0,"F01",0,0,-308.723,101.425,45.313,97.601,0,0,1,1,0,0,0,0,-1,1,1,"","デジモンデフォルト","rail_move_102",0,0,1,-1,"","","","","",""
20404072,2,"","chr308",0,0,0,"","","br01","",0,0,"F01",0,0,-254.579,76.016,-60.492,-55.062,0,0,1,1,0,0,0,0,-1,1,1,"","デジモンデフォルト","rail_move_102",0,0,1,-1,"","","","","",""
20404074,2,"","chr388",0,0,0,"","","fe02","",3,3,"F01",0,0,25.821,0,10.912,505.331,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404075,2,"","chr387",0,0,0,"","","fe02","",12,12,"F01",0,0,27.477,0,10.461,298.36,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404076,2,"","chr317",0,0,0,"","","fe02","",9,9,"F01",0,0,26.385,0,9.471,390.91,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404078,2,"","chr466",0,0,0,"","","fe01","",0,0,"F01",0,0,17.262,0.05,2.678,403.05,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404079,2,"","chr466",0,0,0,"","","fe01","",2,2,"F01",0,0,17.811,0.05,2.582,364.064,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
20404080,2,"","chr371",0,0,0,"","","fe01","",0,0,"F01",0,0,16.198,0.004,1.711,1073.76,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,1,-1,"","","","","",""
20404081,2,"","chr466",0,0,0,"","","fe01","",0,0,"F01",0,0,27.69,0,-13.902,227.905,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
