int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
10201004,1,"subquest_musyamon","200","","chr220",0,0,"","","fq01","",0,0,"F01",0,0,9.098,3.516,-61.144,5.382,0,0,1,1,0,0,0,0,0,0,2,0,0,0,-1,-1,0,-1,0,2,0,"fq01",15,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201005,23,"npc_0001","300","","chr682",0,0,"","","f000","",0,0,"F01",0,0,-15.191,3.399,26.895,28.635,0,0,1,1,5,160,360,1,3,1,2,0.1,-0.1,0,-1,2,-1,-1,0,1,0,"f000",15,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201006,6,"npc_0003","301","","chr096",0,0,"","","bn01","",0,0,"F01",0,0,-8.281,10.698,-15.251,30,0,0,1,1,5,160,360,1,3,1,2,0,0,0,-1,-1,0,-1,0,2,1,"bn01",15,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201007,10,"npc_0005","302","","chr325",0,0,"","","bn01","",0,0,"F01",0,0,8.784,2.056,43.541,-126.855,0,0,1,1,4,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,1,"bn01",15,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201008,1,"shop_0001","450","","chr411",0,0,"","","bn01","",0,0,"F01",0,0,5.806,3.053,5.284,-90,0,0,1,1,3,160,360,1,1,29,2,0,-0.3,-0.2,-1,-1,-1,-1,-1,2,0,"bn01",15,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201009,23,"npc_0308","308","","chr595",0,0,"","","fq01","",0,0,"",0,0,3.088,3.053,2.067,28.174,0,0,1,1,2.3,160,360,1,1,1,2,0,-0.25,0.2,11,2,-1,-1,0,2,1,"fq01",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201010,23,"npc_0309","309","","chr314",0,0,"","","fe03","",0,0,"",0,0,-1.528,3.5,-18.231,-25.882,0,0,1,1,2.5,160,360,1,1,1,2,0.3,-0.25,0,-1,-1,0,-1,0,2,1,"fe03",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201011,19,"npc_0310","310","","chr072",0,0,"","","e013","",0,0,"",0,0,-7.989,3.526,-57.028,500.326,0,0,1,1,4,160,360,1,1,1,2,0.03,-0.27,0.2,-1,2,-1,-1,0,2,0,"e013",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201012,22,"npc_0311","311","","chr072",0,0,"","","bn01","",0,0,"",0,0,-2.874,3.516,-55.872,520.159,0,0,1,1,4,160,360,1,1,1,2,0.03,-0.27,0.2,-1,2,-1,-1,0,2,0,"bn01",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201013,24,"npc_0312","312","","chr072",0,0,"","","e013","",0,0,"",0,0,-7.717,3.526,-57.235,504.43,0,0,1,1,4,160,360,1,1,1,2,0.03,-0.27,0.2,-1,2,-1,-1,0,2,0,"e013",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201014,6,"npc_0313","313","","chr014",0,0,"","","fe04","",0,0,"",0,0,8.331,3.512,-8.469,-243.619,0,0,1,1,2.5,160,360,1,1,1,2,-0.6,-0.5,0.3,-1,-1,0,-1,0,2,0,"fe04",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201015,6,"npc_0314","314","","chr041",0,0,"","","fq02","",0,0,"",0,0,11.082,3.519,-8.674,-114.575,0,0,1,1,0,0,0,1,1,0,2,0,-1,0,-1,2,-1,-1,0,2,0,"fq02",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201016,26,"npc_0315","315","","chr458",0,0,"","","fe04","",0,0,"",0,0,-2.69,3.612,-47.214,217.002,0,0,1,1,4,160,360,1,1,1,2,0,-0.3,1.3,20,2,-1,-1,0,2,0,"fe04",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201017,24,"npc_0316","316","","chr595",0,0,"","","fe03","",0,0,"",0,0,2.017,3.053,6.147,368.938,0,0,1,1,2,160,360,1,1,1,2,0,-0.25,0.2,-1,2,-1,-1,0,1,1,"fe03",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201018,24,"npc_0317","317","","chr314",0,0,"","","fe03","",0,0,"",0,0,-1.781,3.053,13.594,14.453,0,0,1,1,4,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,1,"fe03",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201019,24,"npc_0318","318","","chr682",0,0,"","","fe04","",0,0,"",0,0,-14.365,1.999,30.709,58.294,0,0,1,1,4,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"fe04",15,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10201020,1,"shop_0002","451","","chr474",0,0,"","","bn01","",0,0,"F01",0,0,-25.791,2.297,33.936,45.668,0,0,1,1,4,160,360,1,1,32,2,0.1,-0.85,1,-1,2,-1,2,4,2,0,"bn01",15,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
