string3 0,string3 1
chr001_ba01,ba01
chr001_ba02,ba02
chr002_ba01,ba01
chr002_ba02,ba02
chr003_ba01,ba01
chr003_ba02,ba02
chr005_ba01,ba01
chr005_ba02,ba02
chr009_ba01,ba01
chr009_ba02,ba02
chr010_ba01,ba01
chr010_ba02,ba02
chr011_ba01,ba01
chr011_ba02,ba02
chr012_ba01,ba01
chr012_ba02,ba02
chr012_d0301_pv,d0301_pv
chr013_ba01,ba01
chr013_ba02,ba02
chr014_ba01,ba01
chr014_ba02,ba02
chr015_ba01,ba01
chr015_ba02,ba02
chr016_ba01,ba01
chr016_ba02,ba02
chr017_ba01,ba01
chr017_ba02,ba02
chr020_ba01,ba01
chr020_ba02,ba02
chr023_ba01,ba01
chr023_ba02,ba02
chr025_ba01,ba01
chr025_ba02,ba02
chr028_ba01,ba01
chr028_ba02,ba02
chr030_ba01,ba01
chr030_ba02,ba02
chr041_ba01,ba01
chr041_ba02,ba02
chr042_ba01,ba01
chr042_ba02,ba02
chr044_ba01,ba01
chr044_ba02,ba02
chr044_f000,f000
chr050_ba01,ba01
chr050_ba02,ba02
chr050_bd02,bd02
chr051_ba01,ba01
chr051_ba02,ba02
chr052_ba01,ba01
chr052_ba02,ba02
chr053_ba01,ba01
chr053_ba02,ba02
chr055_ba01,ba01
chr055_ba02,ba02
chr056_ba01,ba01
chr056_ba02,ba02
chr058_ba01,ba01
chr058_ba02,ba02
chr061_ba01,ba01
chr061_ba02,ba02
chr068_ba01,ba01
chr068_ba02,ba02
chr070_ba01,ba01
chr070_ba02,ba02
chr072_ba01,ba01
chr072_ba02,ba02
chr074_ba01,ba01
chr074_ba02,ba02
chr077_ba01,ba01
chr077_ba02,ba02
chr078_ba01,ba01
chr078_ba02,ba02
chr079_ba01,ba01
chr079_ba02,ba02
chr080_ba01,ba01
chr080_ba02,ba02
chr080_e100,e100
chr081_ba01,ba01
chr081_ba02,ba02
chr085_ba01,ba01
chr085_ba02,ba02
chr087_ba01,ba01
chr087_ba02,ba02
chr088_ba01,ba01
chr088_ba02,ba02
chr088_d240_072_c01,d240_072_c01
chr088_d240_072_c02,d240_072_c02
chr088_d240_072_c03,d240_072_c03
chr088_e500,e500
chr088_m020_030_c07,m020_030_c07
chr088_m020_030_c08,m020_030_c08
chr088_m020_030_c09,m020_030_c09
chr088_m020_030_c10,m020_030_c10
chr088_m020_030_c12,m020_030_c12
chr088_m020_030_c13,m020_030_c13
chr088_m440_080_c01,m440_080_c01
chr088_m440_080_c02,m440_080_c02
chr088_m440_080_c03,m440_080_c03
chr088_m440_080_c05,m440_080_c05
chr088_m440_080_c06,m440_080_c06
chr088_m440_080_c08,m440_080_c08
chr088_m440_080_c10,m440_080_c10
chr088_m440_091_c01,m440_091_c01
chr088_m440_091_c02,m440_091_c02
chr088_m440_091_c03,m440_091_c03
chr088_m440_091_c36,m440_091_c36
chr088_m440_091_c37,m440_091_c37
chr088_m440_091_c39,m440_091_c39
chr088_m440_091_c41,m440_091_c41
chr090_ba01,ba01
chr090_ba02,ba02
chr091_ba01,ba01
chr091_ba02,ba02
chr092_ba01,ba01
