int 0,int 1,short 2,short 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,int 18,int 19,int 20,int 21,int 22,int 23
1,10,1,0,11,0,12,1,13,1,14,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
2,10,2,0,11,1,12,0,13,1,14,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
3,10,3,0,11,1,12,1,13,0,14,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
4,10,4,0,11,1,12,1,13,1,14,0,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
5,10,1,0,11,0,12,1,13,1,14,1,15,1,16,1,-1,1,-1,1,-1,1,-1,1
6,10,2,0,11,1,12,0,13,1,14,1,15,1,16,1,-1,1,-1,1,-1,1,-1,1
7,10,3,0,11,1,12,1,13,0,14,1,15,1,16,1,-1,1,-1,1,-1,1,-1,1
8,10,4,0,11,1,12,1,13,1,14,0,15,1,16,1,-1,1,-1,1,-1,1,-1,1
9,10,5,0,11,1,12,1,13,1,14,1,15,0,16,1,-1,1,-1,1,-1,1,-1,1
10,10,1,0,11,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
11,10,2,0,11,1,12,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
12,10,3,0,11,1,12,1,13,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
13,10,4,0,11,1,12,1,13,1,14,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
14,10,5,1,11,1,12,1,13,1,14,1,15,1,-1,1,-1,1,-1,1,-1,1,-1,1
15,10,6,1,11,1,12,1,13,1,14,1,15,1,16,1,-1,1,-1,1,-1,1,-1,1
100,10,3,0,19,1,18,1,17,0,16,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
101,10,2,0,19,1,18,0,17,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
102,10,1,0,19,0,18,1,17,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
114,10,5,0,11,1,12,1,13,1,14,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1
115,10,4,0,11,1,12,1,13,1,14,0,16,1,-1,1,-1,1,-1,1,-1,1,-1,1
116,10,3,0,11,1,12,1,13,0,14,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1
117,10,2,0,11,1,12,0,13,1,14,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1
118,10,1,0,11,0,12,1,13,1,14,1,16,1,-1,1,-1,1,-1,1,-1,1,-1,1
119,10,2,0,33,1,32,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
120,10,2,0,35,1,32,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
121,10,2,0,39,1,32,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
122,10,2,0,44,1,32,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
123,10,1,0,33,0,32,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
124,10,2,0,34,1,33,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
125,10,2,0,35,1,34,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
126,10,1,0,34,0,33,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
127,10,1,0,35,0,34,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
128,10,1,0,35,0,32,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
129,10,2,0,36,1,35,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
130,10,1,0,36,0,35,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
131,10,3,0,38,1,37,1,36,0,16,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
132,10,2,0,38,1,37,0,36,1,16,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
133,10,2,0,39,1,38,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
134,10,1,0,38,0,37,1,36,1,16,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
135,10,1,0,39,0,38,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
136,10,1,0,39,0,32,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
137,10,2,0,40,1,39,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
138,10,1,0,40,0,39,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
139,10,4,0,43,1,42,1,41,1,40,0,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
140,10,3,0,43,1,42,1,41,0,40,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
141,10,2,0,43,1,42,0,41,1,40,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
142,10,2,0,44,1,43,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
143,10,1,0,43,0,42,1,41,1,40,1,16,1,-1,0,-1,1,-1,1,-1,1,-1,1
144,10,1,0,44,0,43,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
145,10,1,0,44,0,32,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
146,10,2,0,45,1,44,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
147,10,1,0,45,0,44,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
148,10,2,0,46,1,45,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
149,10,1,0,46,0,45,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
150,10,2,0,47,1,46,0,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
151,10,1,0,47,0,46,1,16,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
401,20,1,1,21,1,22,1,23,1,24,1,25,1,-1,1,-1,1,-1,1,-1,1,-1,1
402,26,1,1,27,1,28,1,29,1,30,1,31,1,-1,1,-1,1,-1,1,-1,1,-1,1
500,100,1,0,101,1,102,1,103,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
600,-1,1,1,601,1,602,1,603,1,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
700,-1,1,1,700,1,701,1,-1,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
800,-1,1,1,800,1,801,1,-1,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
900,-1,1,1,700,1,900,1,-1,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1
