int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,40,22,21,14,14,13,14
3,40,22,21,14,14,13,14
4,40,22,21,14,14,13,14
5,40,22,21,14,14,13,14
6,40,22,21,14,14,13,14
7,40,22,21,14,14,13,14
8,40,22,21,14,14,13,14
9,40,22,21,14,14,13,14
10,40,22,21,14,14,13,14
11,40,22,21,14,14,13,14
12,40,22,21,14,14,13,14
13,40,22,21,14,14,13,14
14,40,22,21,14,14,13,14
15,40,22,21,14,14,13,14
16,40,22,21,14,14,13,14
17,40,22,21,14,14,13,14
18,40,22,21,14,14,13,14
19,40,22,21,14,14,13,14
20,40,22,21,14,14,13,14
21,8,5,5,3,4,3,3
22,8,5,5,3,4,3,3
23,8,5,5,3,4,3,3
24,8,5,5,3,4,3,3
25,8,5,5,3,4,3,3
26,8,5,5,3,4,3,3
27,8,5,5,3,4,3,3
28,8,5,5,3,4,3,3
29,8,5,5,3,4,3,3
30,8,5,5,3,4,3,3
31,8,5,5,3,4,3,3
32,8,5,5,3,4,3,3
33,8,5,5,3,4,3,3
34,8,5,5,3,4,3,3
35,8,5,5,3,4,3,3
36,8,5,5,3,4,3,3
37,8,5,5,3,4,3,3
38,8,5,5,3,4,3,3
39,8,5,5,3,4,3,3
40,8,5,5,3,4,3,3
41,8,5,5,3,4,3,3
42,8,5,5,3,4,3,3
43,8,5,5,3,4,3,3
44,8,5,5,3,4,3,3
45,8,5,5,3,4,3,3
46,8,5,5,3,4,3,3
47,8,5,5,3,4,3,3
48,8,5,5,3,4,3,3
49,8,5,5,3,4,3,3
50,8,5,5,3,4,3,3
51,8,5,5,3,4,3,3
52,8,5,5,3,4,3,3
53,8,5,5,3,4,3,3
54,8,5,5,3,4,3,3
55,8,5,5,3,4,3,3
56,8,5,5,3,4,3,3
57,8,5,5,3,4,3,3
58,8,5,5,3,4,3,3
59,8,5,5,3,4,3,3
60,8,5,5,3,4,3,3
61,8,5,5,3,4,3,3
62,8,5,5,3,4,3,3
63,8,5,5,3,4,3,3
64,8,5,5,3,4,3,3
65,8,5,5,3,4,3,3
66,8,5,5,3,4,3,3
67,8,5,5,3,4,3,3
68,8,5,5,3,4,3,3
69,8,5,5,3,4,3,3
70,8,5,5,3,4,3,3
71,7,5,4,2,3,2,3
72,7,5,4,2,3,2,3
73,7,5,4,2,3,2,3
74,7,5,4,2,3,2,3
75,7,5,4,2,3,2,3
76,7,5,4,2,3,2,3
77,7,5,4,2,3,2,3
78,7,5,4,2,3,2,3
79,7,5,4,2,3,2,3
80,7,5,4,2,3,2,3
81,7,5,4,2,3,2,3
82,7,5,4,2,3,2,3
83,7,5,4,2,3,2,3
84,7,5,4,2,3,2,3
85,7,5,4,2,3,2,3
86,7,5,4,2,3,2,3
87,7,5,4,2,3,2,3
88,7,5,4,2,3,2,3
89,7,5,4,2,3,2,3
90,7,5,4,2,3,2,3
91,7,5,4,2,3,2,3
92,7,5,4,2,3,2,3
93,7,5,4,2,3,2,3
94,7,5,4,2,3,2,3
95,7,5,4,2,3,2,3
96,7,5,4,2,3,2,3
97,7,5,4,2,3,2,3
98,7,5,4,2,3,2,3
99,7,5,4,2,3,2,3
