string3 0,string3 1,string3 2,string3 3,float 4,float 5,float 6,float 7,float 8,int 9,float 10,float 11,float 12,float 13,int 14
"default_move_animation","bn01","br01","",7.5,0,0,-1,-1,0,-1,-1,-1,-1,-1
"farm_move_animation","bn01","br01","",5.5,0,0,-1,-1,0,-1,-1,-1,-1,-1
"pc001a","fn01_01","fw01_01","fr01_01b",1.5,7,1.5,-1,-1,0,10,25,-1,-1,-1
"pc001aplayer","fn01_01","fw01_01","fr01_01b",1.5,8,1.5,-1,-1,0,10,25,-1,-1,-1
"pc001awalk","fn01_01","fw01_01","",1.9,7,1.5,-1,-1,0,10,25,-1,-1,-1
"pc001aup_stairs","fn01_01","fw02_u01","fr02_u01",1,3,1,-1,-1,0,8,20,-1,-1,-1
"pc001adown_stairs","fn01_01","fw02_d01","fr02_d01",1,3,1,-1,-1,0,5,12,20,27,-1
"pc001ahold","fg02_fn01","fg02_fw01b","",1.5,0,0,-1,-1,1,25,10,-1,-1,-1
"pc001aswim","fg05_n01","fg05_w01","",2,4,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001asuica","fn01_01","fg06_w01","",1.5,1.5,1,-1,-1,0,10,25,40,55,-1
"pc001adoor","fn01_01","fg06_w02","",0.75,0.75,1,-1,-1,0,-1,-1,-1,-1,-1
"pc001aflow","fg08_w01","fg08_w01","",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001aflow_end","fn01_01","fg08_w01_end01","",3,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001ahide","fg09_n01","fg09_w01","",1.5,1.5,1,-1,-1,0,-1,-1,-1,-1,-1
"pc001aduct","fg04_fn01","fg04_fn01","fg04_fn01",1.5,4.8,1,-1,-1,0,-1,-1,-1,-1,-1
"pc001aslide","fg10_w01","fg10_w01","",1.5,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001aslide_end","fn01_01","fg10_w01_end01","",3,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001acover","fg09_n01","fg09_j01","",4.28,0,1,-1,-1,0,-1,-1,-1,-1,-1
"pc001acover_end","fg09_n01","fg09_n01","",4.28,0,1,-1,-1,0,-1,-1,-1,-1,-1
"pc001acyberspace","fg14_w01","fg14_w01","fg14_w01",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001acyberspace_end","fg14_w01","fg14_w02","fg14_w02",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc001apiyo","r307_loop01","r307_loop01","r307_loop01",1.5,4.8,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002a","fn01_01","fw01_01","fr01_01b",1.5,7,1.5,-1,-1,0,10,25,-1,-1,-1
"pc002aplayer","fn01_01","fw01_01","fr01_01b",1.5,8,1.5,-1,-1,0,10,25,-1,-1,-1
"pc002awalk","fn01_01","fw01_01","",1.9,7,1.5,-1,-1,0,10,25,-1,-1,-1
"pc002aup_stairs","fn01_01","fw02_u01","fr02_u01",1,3,1,-1,-1,0,8,20,-1,-1,-1
"pc002adown_stairs","fn01_01","fw02_d01","fr02_d01",1,3,1,-1,-1,0,5,12,20,27,-1
"pc002ahold","fg02_fn01","fg02_fw01b","",1.5,0,0,-1,-1,1,25,10,-1,-1,-1
"pc002aswim","fg05_n01","fg05_w01","",2,4,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002asuica","fn01_01","fg06_w01","",1.5,1.5,1,-1,-1,0,10,25,40,55,-1
"pc002adoor","fn01_01","fg06_w02","",0.75,0.75,1,-1,-1,0,-1,-1,-1,-1,-1
"pc002aflow","fg08_w01","fg08_w01","",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002aflow_end","fn01_01","fg08_w01_end01","",3,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002ahide","fg09_n01","fg09_w01","",1.5,1.5,1,-1,-1,0,-1,-1,-1,-1,-1
"pc002aduct","fg04_fn01","fg04_fn01","fg04_fn01",1.5,4.8,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002aslide","fg10_w01","fg10_w01","",1.5,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002aslide_end","fn01_01","fg10_w01_end01","",3,0,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002acover","fg09_n01","fg09_j01","",4.28,0,1,-1,-1,0,-1,-1,-1,-1,-1
"pc002acover_end","fg09_n01","fg09_n01","",4.28,0,1,-1,-1,0,-1,-1,-1,-1,-1
"pc002acyberspace","fg14_w01","fg14_w01","fg14_w01",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002acyberspace_end","fg14_w01","fg14_w02","fg14_w02",15,15,1,-1,-1,1,-1,-1,-1,-1,-1
"pc002apiyo","r307_loop01","r307_loop01","r307_loop01",1.5,4.8,1,-1,-1,1,-1,-1,-1,-1,-1
"chr183a","fn01_01","fw01_01","fr01_01b",0.9,4.2,1,-1,-1,0,10,25,-1,-1,-1
"chr183aplayer","fn01_01","fw01_01","fr01_01b",0.9,4.2,1,-1,-1,0,10,25,-1,-1,-1
"chr183aduct","fg04_fn01","fg04_fn01","fg04_fn01",1.5,4.8,1,-1,-1,1,-1,-1,-1,-1,-1
"chr184a","fn01_01","fw01_01","br01",1.5,7,1,-1,-1,0,10,25,-1,-1,-1
"chr184aplayer","fn01_01","fw01_01","fr01_01b",1.5,7,1.5,-1,-1,0,10,25,-1,-1,-1
