int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1021701,4051001,0,10,"",0,0,"","","","","","",6.759,2.657,26.699,-31.072,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,7,3,3,30,0,0,0,210,8,1,1,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,2.5,"",0,0.5,0,7.5,15,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1021702,4051001,0,99,"",0,0,"","","","","","",5.502,-25.277,-29.446,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,7,3,3,30,0,0,0,210,8,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,0,0,0,4,2.5,"",0,0.5,0,7.5,15,5,"",0,1,0,-1,"",0,0,0,-1,"","",""
1021703,4051002,0,99,"",0,0,"","","","","","",10.757,5.089,32.283,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,3,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021704,4051002,0,10,"",0,0,"","","","","","",-1.013,3.901,3.057,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,10,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021705,4051002,0,99,"",0,0,"","","","","","",26.272,-4.225,-35.576,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,3,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021706,4051002,0,10,"",0,0,"","","","","","",-14.916,-22.405,-36.959,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,3,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021707,4051002,0,10,"",0,0,"","","","","","",-46.903,-13.548,21.51,311.484,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,2,2,3,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021708,4051003,0,99,"",0,0,"S050_043_enemy_02","","","","","",63.847,8.075,-2.941,-107.859,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,3,3,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,6,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021709,4051003,0,10,"",0,0,"","","","","","",-22.589,-13.511,32.504,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,5,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,5,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1021710,4051003,0,99,"",0,0,"","","","","","",-19.457,6.213,30.639,184.394,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,3,30,0,0,0,210,10,1,5,"","",0,0,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",0,1,0,0,1,1,0,3,0,0,2,3,"",0,3,0,2,25,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
