int 0,string3 1,int 2,string2 3,string2 4,bool 5,string2 6,int 7,int 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int 35,int 36,float 37,float 38,float 39,float 40,int 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int 50,int 51,int 52,int 53,string2 54,string2 55,int 56
10202001,"",6,"","",0,"f00iconobj00",1,0,"","","","","",0,0,-43.3,7.054,20.336,0,0,0,1,1,"",0,0,0,0,0,1,0,0,0,0,28,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202002,"",6,"","",0,"f00iconobj00",1,0,"","","","","",0,0,-39.534,7.696,20.724,0,0,0,1,1,"",0,0,0,0,0,1,0,0,0,0,28,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202010,"",99,"hazama_gate01","h812_070",0,"ef_f_mov_121_ga",1,0,"","","","","",0,0,-35.711,8.038,-38.486,-4.12,0,0,1,1,"",0,0,0,0,0,2,360,360,2,2,27,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202011,"",99,"fa_obstacles_01","fa_obj_ele",0,"d02container00",1,0,"","","","","",0,0,-35.712,8.038,-38.725,170,0,0,1,1,"wall_cl",3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,10,2,2,0,1,-1,"",0,0,6,0,"FLAG_GIMMICK_FA_D0202_001","1",-1
10202030,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,31.128,0.22,24.935,50.294,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202031,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,32.556,-0.065,22.38,-46.505,1,10,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202032,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,33.235,0.351,26.644,-50.43,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202033,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,31.264,-0.072,23.207,-123.059,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202034,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,36.339,0,19.364,-253.152,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202035,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,36.158,0.398,27.262,1.665,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202036,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,35.399,0,18.437,19.945,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202037,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,33.236,-0.065,21.077,22.348,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202038,"",3,"","",0,"f00drum01",1,0,"","","","","",0,0,32.689,-0.065,19.89,-7.791,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202039,"",5,"","",0,"f00iconobj00",1,0,"","","","","",0,0,33.294,0.627,30.826,-17.757,0,0,1,1,"cliff_cl",15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202040,"",3,"","",0,"f00iconobj00",1,0,"","","","","",0,0,32.925,-0.46,27.837,-16.43,0,0,1,1,"cliff_cl",15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
