int 0,string3 1,int 2,string2 3,string2 4,bool 5,string2 6,int 7,int 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int 35,int 36,float 37,float 38,float 39,float 40,int 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int 50,int 51,int 52,int 53,string2 54,string2 55,int 56
108001,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,10.719,-0.602,47.613,2.523,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108002,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,10.929,-0.611,41.51,-116.577,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108003,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,5.283,-0.633,33.069,-14.629,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108004,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,1.997,-0.6,26.906,-139.221,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108005,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,11.592,-0.337,21.922,-30,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108006,"",10,"","",0,"f00squadvehicle00",1,0,"","","","","",0,0,-9.299,-0.637,12.681,0,0,0,1,1,"wall_cl",1,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108007,"",10,"","",0,"f00ambulance00",1,0,"","","","","",0,0,23.759,-0.448,48.261,2.523,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108008,"",10,"","",0,"f00bus01",1,0,"","","","","",0,0,18.953,-0.356,35.524,-116.577,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108009,"",10,"","",0,"f00car00",1,0,"","","","","",0,0,27.623,-0.213,27.351,-70.414,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108010,"",10,"","",0,"f00car01",1,0,"","","","","",0,0,16.136,-0.07,16.727,-143.751,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108011,"",10,"","",0,"f00car02",1,0,"","","","","",0,0,4.607,-0.349,8.746,-30,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
108012,"",10,"","",0,"f00car03",1,0,"","","","","",0,0,43.7,0,7.121,-39.494,0,0,1,1,"wall_cl",1,3,1,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
