int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
302300,1,"npc_0300","300","","npc105ae010105",0,0,"","","e012","",0,0,"F01",0,0,-14.922,-0.001,12.525,262.376,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,-1,-1,0,0,0,"e012",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302301,1,"npc_0301","301","","npc101bc010202",0,0,"","","e016","",0,0,"F01",0,0,9.295,-0.001,20.528,203.453,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,-1,-1,0,0,0,"e016",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302304,5,"npc_0304","304","char_CAPTAIN","npc005aa010101",0,0,"","","e012","",0,0,"",0,0,15.124,-0.007,15.066,-43.654,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,-1,0,-1,0,0,0,"e012",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302307,6,"npc_0307","307","char_PUBLICSAFETY_MOB_B","npc014aa010101",0,0,"","","e507","",0,0,"F01",0,0,-5.558,-0.001,-3.413,310.372,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,5,-1,0,2,1,"e507",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302308,1,"npc_0308","308","char_PUBLICSAFETY_MOB_B","npc014aa010101",0,0,"","","e507","",0,0,"F01",0,0,-4.601,-0.001,-0.911,40.06,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,2,5,-1,0,2,1,"e507",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302309,8,"npc_0309","309","char_CAPTAIN","npc005aa010101",0,0,"","","fn01_01","",0,0,"",0,0,0.025,0,1.583,-43.654,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,2,5,-1,0,0,0,"fn01_01",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302310,6,"npc_0310","310","char_WOMAN_OF_PUBLIC_SECURITY","npc007aa010101",0,0,"","","e012","",0,0,"F01",0,0,-0.831,0,-1.533,59.144,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,2,5,-1,0,2,1,"e012",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302311,6,"npc_0311","311","char_MAN_OF_PUBLIC_SECURITY","npc006aa010101",0,0,"","","e008","",0,0,"F01",0,0,0.625,0,-1.228,309.43,0,0,1,1,2.5,160,360,1,1,1,2,0,0,0,-1,2,5,-1,0,2,1,"e008",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302312,9,"father02","312","char_TAKEMIYA","npc002aa010101",0,0,"","","e012","",0,0,"F01",0,0,15.118,-0.009,21.052,91.591,0,0,1,1,2.5,180,360,1,1,1,2,0,0,0.1,-1,2,5,-1,0,2,0,"e012",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
302313,9,"npc_0313","313","char_CAPTAIN","npc005aa010101",0,0,"","","fn01_01","",0,0,"",0,0,16.254,-0.01,20.555,-77.846,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,-1,0,-1,0,0,0,"fn01_01",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
