int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9
0,0,0,0,-1,-1,"t0201","t0203","t02","last"
1000,0,100,0,-1,-1,"map_0001
gim_0001","map_0001
gim_0001","t0201
t0203","last"
3000,0,300,0,-1,-1,"map_0001
gim_0001","map_0001
gim_0001","t0201
t0203","last"
4000,0,400,0,1485,1491,"map_0001","","t0201","last"
4001,0,400,1,-1,-1,"map_0001
gim_0001","map_0001
gim_0001","t0201
t0203","last"
2010,0,201,0,-1,-1,"","col_t0201_start_01_0
map_0001
gim_0001","","last"
2030,0,203,0,-1,-1,"col_t0203_start_00_0","","","last"
101000,10000,100,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
102000,10000,200,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
103000,10000,300,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
104000,10000,400,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
105000,10000,500,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
106000,10000,600,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
107000,10000,700,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
108000,10000,800,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
109000,10000,900,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
110000,10000,1000,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
110001,10000,1000,1,-1,-1,"map_0001","map_0001","t0201
t0203","last"
111000,10000,1100,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
112000,10000,1200,0,-1,-1,"map_0001","map_0001","t0201
t0203","last"
112001,10000,1200,1,-1,-1,"map_0001","map_0001","t0201
t0203","last"
203000,20000,300,0,-1,-1,"map_0001","map_0001
change_0001","t0201
t0203","last"
