int 0,int 1,empty 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,empty 15,int 16,int 17,empty 18,int 19,float 20,int 21,string2 22,string2 23,int 24,int 25,int 26,string2 27,int 28,string2 29,string2 30,string2 31,int 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49,empty 50
10010,10,"",10,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10010,"t0102","evt_1005",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10020,10,"",20,2,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10010,"t0102","evt_1006",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10030,10,"",30,3,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10010,"t0107","",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10040,10,"",40,5,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10020,"t0107","npc_0002",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10050,10,"",50,7,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10020,"t0107","gim_9000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10060,10,"",60,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10030,"d1003","",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10070,10,"",70,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10050,"d1003","evt_2000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10080,10,"",80,16,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10050,"d1003","evt_2000",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10090,10,"",90,17,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10050,"d1003","evt_2001",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10100,10,"",100,18,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10050,"d1003","evt_2002",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10110,10,"",110,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10050,"d1001","evt_1100",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
10120,10,"",120,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,"",-1,-1,"",-1,-1,10070,"d1001","fa_obstacles_01",-1,1,0,"",0,"","","",-1,"X2028_daft_10","","","","","","","","","","","","","","","","",""
