int 0,string2 1,string2 2,string2 3
1000,"1000","10000","10001"
1001,"1001","10000","10001"
1002,"1002","10000","10001"
1003,"1003","10000","10001"
1004,"1004","10000","10001"
1005,"1005","10000","10001"
1006,"yesno_demo_0010","10000","10001"
1100,"1100","10000","10001"
1101,"1101","10000","10001"
1200,"1200","10000","10001"
1201,"1201","10000","10001"
1202,"1202","10000","10001"
1203,"1203","10000","10001"
1204,"1204","10000","10001"
1205,"1205","10000","10001"
1206,"1206","10000","10001"
1207,"1207","10000","10001"
1208,"1208","10000","10001"
1209,"1209","10000","10001"
1210,"1210","10000","10001"
1211,"1211","10000","10001"
1300,"1300","10000","10001"
1400,"1400","10000","10001"
1501,"1501","10000","10001"
1502,"1502","10000","10001"
1700,"1700","10000","10001"
1900,"1900","10000","10001"
2200,"2200","10000","10001"
2201,"2201","10000","10001"
2300,"2300","10000","10001"
2400,"2400","10000","10001"
2401,"2401","10000","10001"
2600,"2600","10000","10001"
2601,"2601","10000","10001"
2602,"2602","10004","10005"
2603,"2603","10000","10001"
2604,"2604","10000","10001"
2700,"2700","10000","10001"
2701,"2701","10000","10001"
2702,"2702","10000","10001"
5000,"5000","10000","10001"
5070,"5070","10000","10001"
6000,"6000","10000","10001"
6001,"6001","10000","10001"
6002,"6002","10000","10001"
6003,"6003","10000","10001"
20005,"20005","10000","10001"
20100,"20100","10000","10001"
20101,"20101","10000","10001"
20102,"20102","10000","10001"
20103,"yesno_quest_0010","10000","10001"
20104,"yesno_reinforcement_0010","10000","10001"
20105,"yesno_reinforcement_0020","10000","10001"
20106,"yesno_reinforcement_0030","10000","10001"
20107,"yesno_conversion_0010","10000","10001"
20108,"yesno_conversion_0020","10000","10001"
20109,"yesno_conversion_0030","10000","10001"
20110,"yesno_shop_0010","10000","10001"
20111,"yesno_shop_0020","10000","10001"
20112,"yesno_shop_0030","10000","10001"
20113,"yesno_shop_0040","10000","10001"
20114,"yesno_shop_0050","10000","10001"
20122,"yesno_gameover_0010","10000","10001"
20123,"yesno_gameover_0020","10000","10001"
20124,"yesno_gameover_0030","10000","10001"
20125,"yesno_gameover_0040","10000","10001"
20126,"yesno_hazama_d_0010","10000","10001"
20127,"yesno_hazama_dl_0010","10000","10001"
20128,"yesno_arena_0010","10000","10001"
20129,"yesno_arena_0020","10000","10001"
20137,"yesno_title_0010","10000","10001"
20138,"yesno_title_0020","10000","10001"
20139,"yesno_title_0030","10000","10001"
20140,"yesno_systemmenu_0010","10000","10001"
20143,"yesno_digimonselect_0010","10000","10001"
20145,"yesno_unequip_0010","10000","10001"
20146,"yesno_language_0010","10000","10001"
20147,"yesno_language_0020","10000","10001"
20149,"yesno_giveup_0010","10000","10001"
20150,"yesno_language_0030","10000","10001"
