string2 0,string 1
"0","To the Endless World"
"101","Prosperous Central Town"
"113","The Will of the Higher Being"
"114","The In-Between Theater"
"121","The Warriors' Rest"
"204","Struggle against Trials"
"206","Descension of the Evil Deity"
"307","Looming Threat"
"312","UPPER MIND"
"317","Time of World Destruction"
"320","The Impending Threat"
"610","MISSION START"
"804","Big Anomaly"
"902","City (Night)"
"907","Into the Depths"
"908","Into the Darkness"
"911","DARK WATERS"
"927","Endure the Anomalies"
"928","Battle of Iliad"
"935","A Little Comedy"
