string2 0,string 1
"1",""
"1000","View Digimon in your roster or edit your party."
"1001",""
"1002",""
"1003","View information on Digimon obtained or discovered up to this point."
"1004","View or use items in your inventory."
"1005","Learn Agent Skills, or change Cross Arts and costumes."
"1006","Change game settings, save, load or view tutorials."
"1008","View the status of ongoing missions."
"1009","Change various game settings."
"1010","Save your current progress."
"1011","Load existing save data and resume play."
"1012","View various tutorials about the game."
"1013",""
"1014",""
"1015",""
"1016",""
"1017",""
"1018",""
"1019","Digivolve or De-Digivolve your Digimon."
"1020","Enhance Digimon by synthesizing them with other Digimon."
"1021","Materialize and recruit Digimon with a Scan Rate of over 100%."
"1022",""
"1023","Select the Digimon whose information you would like to view."
"1024","Information on the Digimon's various traits, stats and learnable skills."
"1025","Information on the Digimon's Digivolution path."
"1026","Information on the Digimon's De-Digivolution path."
"1027","Learn new Agent Skills to support your Digimon in training and battle."
"1028","Try on and change into other costumes."
"1029","Select a costume to wear."
"1030",""
"1031","Select a tutorial to view."
"1050","Set your party and Digivolve, Convert, and enhance your Digimon."
"1100","View your Digimon's stats and assign Battle and Reserve Members."
"1101",""
"1200","Materialize and recruit Digimon with a Scan Rate of over 100%."
"1300","Select a Digimon to Digivolve or De-Digivolve."
"1301",""
"1302",""
"1400","View this Digimon's stats and set their Attachment Skills and equipment."
"1401","Select an Attachment Skill to set."
"1402","Select equipment to set."
"1500","Select a Digimon to enhance."
"1501",""
"1600","Select an item to view or use."
"1601","Select the Digimon to use the item on."
"1700","View mission details and mark your current objective."
"1800","Select an Agent Skill to view or learn."
"2100","Select which slot to save your data."
"2101","Select which save data to load."
"2102","View messages from your allies."
"2103","View past conversation dialogue."
"10003","Select a Digimon to move to the Digifarm."
"help_reinforcement_01","Select Digimon to use as enhancement materials. ({fc2The selected Digimon will be lost.})"
"help_conversion_01","Return Digimon to data and convert them into YEN."
"help_conversion_02","Select Digimon to convert into YEN. ({fc2The selected Digimon will be lost.})"
"help_xartsset_01","Select a Cross Art to use in battle."
"help_xartsset_02","Select from Cross Arts learned via ""Bond of Loyalty"" in Agent Skills."
"help_hazamagate_01","Select a time and location to travel to."
"help_hazamagate_02","Select an In-Between Theater gate to travel to."
"help_shop_buy","Select an item to purchase."
"help_shop_sell","Select an item to sell."
"help_shop_development","Select an item to create."
"help_shop_disassembly","Select an item to take apart."
"help_digivice_digitter","View messages from your allies and past conversation dialogue."
"help_digimoncard_deck_01","View your card collection."
"help_digimoncard_deck_02","View cards in your collection and conditions to obtain cards you've discovered."
"help_hazama_d_01","Quit the Outer Dungeon and return to the lobby."
"help_hazama_dl_01","Select an Outer Dungeon challenge to take on."
"help_item_skilldisc_01","Select the Digimon who will equip the Skill Disc."
"help_item_skilldisc_02","Select a slot for the Skill Disc."
"help_item_equipment_01","Select the Digimon who will equip the equipment."
"help_item_equipment_02","Select a slot for the equipment."
"help_recovery_01","Select the means of recovery."
"help_recovery_02","Select a Digimon to recover."
"help_load_02","Carry over data and start the game from the beginning. Select the data to carry over."
"help_option_02","Language and graphics settings can be changed before starting the game."
"help_systemmenu_01","Resume the game."
"help_systemmenu_02","Return to the title screen."
"help_systemmenu_03","Exit the game."
"help_systemmenu_04","Set your preferred in-game background music."
"help_bgm_01","Change the background music played while out in the field."
"help_bgm_02","Change the background music played during normal battles."
"help_bgm_03","Change the background music played for the Digivice menu."
"help_bgm_04","Change the background music played for the Digifarm."
"help_bgm_05","Change the background music played during card battles."
"help_bgm_06","Change the background music played during boss battles. (Does not apply to certain battles.)"
"help_clear_01","Select a slot to save the clear data."
