string2 0,string 1
"key_help_0001","Confirm"
"key_help_0002","Back"
"key_help_0003","Switch Page"
"key_help_0004","Switch Sorting"
"key_help_0005","Reply"
"key_help_0006","Details"
"key_help_0007","Toggle Info"
"key_help_0008","Hide"
"key_help_0009","Show"
"key_help_0010","OK"
"key_help_0011","Yes"
"key_help_0012","No"
"key_help_0013","Auto"
"key_help_0014","Manual"
"key_help_0015","Swap"
"key_help_0016","Change Name"
"key_help_0017","Protect"
"key_help_0018","Stats"
"key_help_0019","Change"
"key_help_0020","Unequip"
"key_help_0021","Auto-Select"
"key_help_0022","(Hold) Auto-Select Settings"
"key_help_0023","Cancel All/Select All"
"key_help_0024","Preview Skills"
"key_help_0025","Delete Data"
"key_help_0026","Restore Default Settings"
"key_help_0027","Check"
"key_help_0028","View Model"
"key_help_0029","Reset Filters"
"key_help_0030","Select"
"key_help_0031","Play"
"key_help_0032","Next"
"key_help_0033","Log"
"key_help_0034","Show/Hide"
"key_help_0035","End"
"key_help_0036","DigiAttack"
"key_help_0037","DigiRide"
"key_help_0038","Switch Digimon"
"key_help_0039","Dismount"
"key_help_0040","Random Recovery"
"key_help_0041","Switch to Menu"
"key_help_0042","Switch to Members"
"key_help_0043","Switch Members"
"key_help_0044","Next"
"key_help_0045","　　"
"key_help_0046"," {image({d0})} "
"key_help_0047"," {is{n0}}{image({d0})}"
"key_help_0048","ui_icon_system_{n0}"
"key_help_0049","ui_icon_system_{n0}"
"key_help_0050","Switch Skills"
"key_help_0051","End Analysis"
"key_help_0052","Synthesize"
"key_help_0053","Auto-Select"
"key_help_0054","Convert"
"key_help_0055","Analyze"
"key_help_0056","Apply"
"key_help_0057","Mark Current Objective"
"key_help_0058","Enter Name"
"key_help_0059","Restore Default"
"key_help_0060","Change Targets"
"key_help_0061","Buy"
"key_help_0062","Sell"
"key_help_0063","Create"
"key_help_0064","Take Apart"
"key_help_0065","Warp to Current Mission"
"key_help_0066","Return to the Real World"
"key_help_0067","Move to Box"
"key_help_0068","Setup"
"key_help_0069","Digimon List"
"key_help_0070","Switch Digimon"
"key_help_0071","Place Island"
"key_help_0072","Change Size"
"key_help_0073","Close"
"key_help_0074","Leave Farm"
"key_help_0075","Change Range"
"key_help_0076","Change Direction"
"key_help_0077","Select Panel"
"key_help_0078","Remove"
"key_help_0079","Select Category"
"key_help_0080","Select Item"
"key_help_0081","Quick Complete"
"key_help_0082","Check Personality"
"key_help_0083","Replace"
"key_help_0084","Don't Replace"
"key_help_0085","Quit"
"key_help_0086","Favorite"
"key_help_0087","View Card"
"key_help_0088","Summon"
"key_help_0089","Receive Selected Cards"
"key_help_0090","Digivice"
"key_help_0091","Challenge"
"key_help_0092","Teach"
"key_help_0093","Target Digimon"
"key_help_0094","Tutorial Details"
"key_help_0095","Mission Details"
"key_help_0096","Skill Disc Controls"
"key_help_0097","Equip"
"key_help_0098","Equipment Controls"
"key_help_0099","Ride"
"key_help_0100","Proceed"
"key_help_0101","Auto Off"
"key_help_0102","Digivolution"
"key_help_0103","Agent Skills"
"key_help_0104","Shortcuts"
"key_help_0105","Close Digivice"
"key_help_0106","Change Language"
"key_help_0107","Agree"
"key_help_0108","Decline"
"key_help_0109","End"
"key_help_0110","{pf(Add-Ons/Add-Ons/Downloadable Content/Downloadable Content)}"
"key_help_0111","Play"
"key_help_0112","Pause"
"key_help_0113","Move"
"key_help_0114","Camera"
"key_help_0115","Examine/Talk"
"key_help_0116","Pixel Model"
"key_help_0117","Normal Model"
"key_help_0118","Continue Training"
"key_help_0119","Equipment/Skills"
"key_help_0120","Zoom"
"key_help_0121","Transfer"
"key_help_0122","Open Store"
"key_help_0123","Return to Title"
"key_help_0124","Buy Product"
"key_help_0125","Unequip All"
"key_help_0126","Viewing Mode"
"key_help_0127","Select Grid Space"
"key_help_0128","Return to Box"
"key_help_0129","Select Island"
"key_help_0130","Rotate"
"key_help_0131","Digimon Details"
"key_help_0132","Digimon Settings"
"key_help_0133","View Rules"
