string2 0,string 1
"11016","[Target: All enemies]
Deals heavy damage. Always hits."
"11017","[Target: All enemies]
Deals major damage. Always hits."
"11018","[Target: All enemies]
Deals moderate damage. Always hits.
Applies {is28}{image(ui_icon_btlStatus_011)} Reverse."
"11019","[Target: 1 enemy]
Deals extreme damage. Always hits."
"11020","[Target: All allies]
Moderately recovers HP.
Applies {is28}{image(ui_icon_btlStatus_040)} Status Abnormality Immunity and {is28}{image(ui_icon_btlStatus_041)} Stat Debuff
Immunity."
"11021","[Target: 1 ally]
Fully recovers HP and SP.
Overheals to up to 200% of target's Max HP and SP."
"11022","[Target: All allies]
Revives from KO and slightly recovers HP.
Applies {is28}{image(ui_icon_btlStatus_042)} Guts (survive at 1 HP when taking fatal damage)."
"11023","[Target: All allies]
50% boost to ATK/DEF/INT/SPI/SPD for 2 turns."
"11024","[Target: All enemies] 
Deals minor damage. Always hits. 
25% reduction to ATK/DEF/INT/SPI for 4 turns."
"11025","[Target: All allies]
50% boost to ATK/DEF/INT/SPI/SPD for 3 turns.
Nullifies physical/magic damage for 1 turn."
"20391","[Target: 1 enemy]
Performs {is28}{image(ui_icon_skill_010)} Dark magic attack at power 30 or 120.
Increased damage to targets with Holy Trait."
"20441","[Target: 1 enemy]
Either performs {is28}{image(ui_icon_skill_001)} Fire physical attack at power 110,
or 100% chance of 10% reduction to SPD for 3 turns."
"21782","[Target: 1 enemy] Performs {is28}{image(ui_icon_skill_000)} Null physical attack at
power 80. If target's Attribute is anything other than
No Data: Increased damage. Increased damage to
targets with Mineral Trait."
"24511","[Target: 1 enemy]
Steals all stat changes."
"27375","[Target: 1 enemy] Performs phys. attack of random power/element/effect:
 - Pwr. 110 {is28}{image(ui_icon_skill_006)} Steel; Incr. dmg. to Mineral Trait; Nullifies unfav. compat.
 - Pwr. 100 {is28}{image(ui_icon_skill_000)} Null; Incr. dmg. to Weapon Trait; 20% CRT Rate.
 - Pwr. 105 {is28}{image(ui_icon_skill_005)} Electricity; Incr. dmg. to Amphibian Trait."
"31011","[Target: 1 ally]
Moderately recovers HP."
