string2 0,string 1
"0","None"
"2","Mammal"
"3","Beast Man"
"4","Wizard"
"9","Machine"
"10","Fire"
"11","Mythical Beast"
"12","Beast"
"13","Ghost"
"14","Mutant"
"15","Giant Bird"
"16","Dragon Man"
"17","Beast Man"
"20","Beast"
"23","Mutant"
"25","Android"
"30","Dark Beast"
"42","Insectoid"
"43","Dark Beast"
"50","Reptile"
"51","Android"
"52","Android"
"53","Holy Beast"
"54","Dinosaur"
"55","Beast"
"56","Vegetation"
"58","Vegetation"
"68","Beast"
"69","Mutant"
"70","Mollusk"
"72","Beast Man"
"77","Holy Beast"
"78","Dark Dragon"
"81","Little Devil"
"87","Angel"
"88","Holy Knight"
"90","Reptile"
"91","Insectoid"
"92","Holy Beast"
"93","Dark Angel"
"96","Mammal"
"97","Little Devil"
"100","Beast Man"
"102","Beast Man"
"103","Crustacean"
"111","Demon"
"112","Beast"
"113","Mutant"
"114","Mini Dragon"
"115","Dinosaur"
"130","Ancient Fish"
"136","Beast"
"137","Beast"
"151","Reptile"
"162","Pixie"
"163","Aquatic"
"183","Deity"
"190","Beast"
"191","Beast Dragon"
"208","Dragon"
"209","Dragon"
"218","Dragon"
"219","Reptile"
"220","Wizard"
"222","Dark Beast"
"228","Composite"
"231","Holy Beast"
"234","Beast"
"235","Beast"
"240","Mollusk"
"241","Machine"
"242","Lesser"
"303","Insectoid"
"304","Insectoid"
"307","Baby Bird"
"308","Giant Bird"
"313","Abnormal"
"314","Carnivorous Vegetation"
"316","Slime"
"317","Slime"
"320","Slime"
"321","Lesser"
"322","Lesser"
"325","Lesser"
"326","Dinosaur"
"341","Machine"
"343","Sea Beast"
"344","Sea Beast"
"347","Aquatic"
"348","Vegetation"
"349","Vegetation"
"361","Mammal"
"363","Dinosaur"
"365","Mythical Dragon"
"367","Insectoid"
"368","Mollusk"
"369","Armored Dragon"
"370","Ice-Snow"
"371","Rare Animal"
"372","Beast Man"
"373","Beast"
"374","Perfect"
"375","Invader"
"377","Wizard"
"387","Slime"
"388","Lesser"
"389","Amphibian"
"390","Angel"
"391","Beast Man"
"392","Larva"
"393","Vegetation"
"394","Demon"
"395","Mysterious Beast"
"396","Beast Dragon"
"397","Mythical Dragon"
"398","Machine"
"399","Amphibian"
"408","Dragon Man"
"422","Machine"
"437","Slime"
"438","Lesser"
"452","Dragon Man"
"454","Android"
"455","Crustacean"
"456","Mutant"
"457","Undead"
"458","Mini Dragon"
"463","Machine"
"466","Lesser"
"474","Dragon Man"
"510","Bulb"
"512","Bulb"
"514","Lesser"
"515","Lesser"
"548","Mythical Beast"
"563","Mammal"
"564","Mammal"
"567","Lesser"
"569","Mammal"
"573","Baby Bird"
"574","Bird Man"
"577","Demon"
"578","Demon"
"579","Demon"
"580","Ice-Snow"
"582","Amphibian"
"586","Insectoid"
"590","Undead"
"592","Insectoid"
"594","Sea Animal"
"595","Ore"
"597","Insectoid"
"598","Dinosaur"
"601","Wizard"
"607","Vegetation"
"609","Machine"
"610","Ancient Bird"
"611","Vegetation"
"615","Machine"
"621","Android"
"622","Bird"
"623","Bird"
"626","Unidentified"
"629","Unidentified"
"630","Unidentified"
"631","Unidentified"
"682","Mini Dragon"
"687","Mini Dragon"
"697","Weapon"
"698","Weapon"
"701","Beast"
"702","Bird"
"705","Bird"
"706","Bird"
"707","Mammal"
"708","Puppet"
"709","Crustacean"
"710","Beast Man"
"711","Armored Dragon"
"720","Beast Man"
"723","Mutant"
"728","Machine"
"729","Mollusk"
"730","Dark Angel"
"750","Beast"
"752","Mutant"
"753","Mollusk"
"755","Wizard"
"758","Ice-Snow"
"759","Mutant"
"760","Machine"
"911","Android"
"972","Holy Knight"
"978","Insectoid"
