string2 0,string 1
"1","{d0} has been KO'd!"
"2","{d0} has died instantly!"
"3","{d0} has been {is28}{image(ui_icon_btlStatus_000)} Poisoned!"
"4",""
"5","{d0} has become {is28}{image(ui_icon_btlStatus_002)} Confused!"
"6","{d0} has been {is28}{image(ui_icon_btlStatus_003)} Paralyzed!"
"7","{d0} has fallen {is28}{image(ui_icon_btlStatus_004)} Asleep!"
"8","{d0} has been afflicted with {is28}{image(ui_icon_btlStatus_005)} Deadly Poison!"
"9",""
"10","{d0}'s mind is in {is28}{image(ui_icon_btlStatus_007)} Chaos!"
"11","{d0} has been {is28}{image(ui_icon_btlStatus_008)} Immobilized!"
"12","{d0} has fallen into {is28}{image(ui_icon_btlStatus_009)} Deep Slumber!"
"13","{d0} has been {is28}{image(ui_icon_btlStatus_010)} Crystallized and cannot use skills!"
"14","{d0}'s compatibilities have been {is28}{image(ui_icon_btlStatus_011)} Reversed!"
"15","{d0}'s {fc9HP recovery} has been boosted!"
"16","{d0}'s {fc9HP recovery} has been reduced!"
"17","{d0}'s {fc9SP recovery} has been boosted!"
"18","{d0}'s {fc9SP recovery} has been reduced!"
"19","{d0}'s {is28}{image(ui_icon_btlStatus_032)} {fc9Max HP} has been boosted!"
"20","{d0}'s {is28}{image(ui_icon_btlStatus_034)} {fc9Max SP} has been boosted!"
"21","Reaper's Mist: {d0}'s {is28}{image(ui_icon_btlStatus_033)} {fc9Max HP} has been reduced!"
"22","{d0}'s {is28}{image(ui_icon_btlStatus_035)} {fc9Max SP} has been reduced!"
"23","{d0}'s {is28}{image(ui_icon_btlStatus_014)} {fc9HP} now recovers with every turn!"
"24","{d0}'s {is28}{image(ui_icon_btlStatus_015)} {fc9SP} now recovers with every turn!"
"25","{d0}'s {is28}{image(ui_icon_btlStatus_016)} {fc9ATK} has been boosted!"
"26","{d0}'s {is28}{image(ui_icon_btlStatus_018)} {fc9DEF} has been boosted!"
"27","{d0}'s {is28}{image(ui_icon_btlStatus_020)} {fc9INT} has been boosted!"
"28","{d0}'s {is28}{image(ui_icon_btlStatus_022)} {fc9SPI} has been boosted!"
"29","{d0}'s {is28}{image(ui_icon_btlStatus_024)} {fc9SPD} has been boosted!"
